Observation,Year,Date,Observer,Watch ID,Area,Time (event start time),Watch duration mins,Number of nests watched,Event,Nest ID,Bird fed ID,Prey,Size,Adult ID,Notes,exclude from feeding rates,Photo ID
blind,2019,6/20/2021,OAS,2021.01,Diet area 4,8:00,60,5,start,"D.06, D.07, D.22, D.25, D.24",,,,,,,
blind,2019,6/20/2021,OAS,2021.01,Diet area 4,8:03,,,feeding,D.06,,herring,2.5,,,,
blind,2019,6/20/2021,OAS,2021.01,Diet area 4,8:08,,,stolen from,D.24,B,hake,1,,,,
blind,2019,6/20/2021,OAS,2021.01,Diet area 4,8:20,,,feeding,D.07,,herring,2,,,,
blind,2019,6/20/2021,OAS,2021.01,Diet area 4,8:21,,,feeding,D.07,,herring,2,GPS 647,from GPS adult!,,
blind,2019,6/20/2021,OAS,2021.01,Diet area 4,9:00,,,end,"D.06, D.07, D.22, D.25, D.24",,,,,,,
blind,2019,5/28/2021,ECC,2021.01,Diet area 4,,,,nuptial feeding,,,butterfish,2,,,x,
blind,2019,5/28/2021,ECC,2021.01,Diet area 4,,,,nuptial feeding,,,hake,2,,,x,
blind,2019,5/28/2021,ECC,2021.01,Diet area 4,,,,nuptial feeding,,,herring,1.5,,,x,
blind,2019,6/5/2021,ECC,2021.01,Diet area 1,,,,nuptial feeding,,,sandlance,3.5,,,,
blind,2019,6/21/2021,ECC,2021.02,Diet area 3,1:35,95,,feeding,sb.04,,sandlance,2.5,,,,
blind,2019,6/21/2021,ECC,2021.02,Diet area 3,1:35,95,8,start,"SB.07a/b, SB.04a, D.04a/b, D.46a, D.58a, SB.09, SB.05/b, SB.06",,,,,"D.04 mate present. SB.07 no adults present. Lots of aggressive behavior  towards chicks in own nest, e.g., D.58, D.04 and others",,
blind,2019,6/21/2021,ECC,2021.02,Diet area 3,1:56,,,feeding,r.28,,herring,2,,,,
blind,2019,6/21/2021,ECC,2021.02,Diet area 3,2:06,,,feeding,SB.05,A,herring,1.5,,,,
blind,2019,6/21/2021,ECC,2021.02,Diet area 3,2:09,,,feeding,Sb.11,,herring,1.5,,,,
blind,2019,6/21/2021,ECC,2021.02,Diet area 3,2:13,,,feeding,d.04,A,herring,2,untagged mate,,,
blind,2019,6/21/2021,ECC,2021.02,Diet area 3,2:27,,,feeding,D.05,A,sandlance,4,,,,
blind,2019,6/21/2021,ECC,2021.02,Diet area 3,2:29,,,failed feeding (stolen),SB.09,NA,herring,2,,,,
blind,2019,6/21/2021,ECC,2021.02,Diet area 3,2:45,,,failed feeding,D.04,,herring,2,untagged mate,,,
blind,2019,6/21/2021,ECC,2021.02,Diet area 3,2:45,,,feeding,D.58,A,herring,2.5,,,,
blind,2019,6/21/2021,ECC,2021.02,Diet area 3,2:46,,,feeding,SB.06,,herring,2,,,,
blind,2019,6/21/2021,ECC,2021.02,Diet area 3,3:00,,,end,,,,,,,,
blind,2019,6/20/2021,OAS,2021.03,Diet area 4,8:00,60,5,start,D.06/D.07/D.22/D.24/D.25,,,,,,,
blind,2019,6/20/2021,OAS,2021.03,Diet area 4,8:03,,,feeding,D.06,,herring,2.5,,,,
blind,2019,6/20/2021,OAS,2021.03,Diet area 4,8:08,,,stolen from,D.24,B,hake,1,,,,
blind,2019,6/20/2021,OAS,2021.03,Diet area 4,8:20,,,feeding,D.07,,herring,2,,,,
