ObservationType,Year,Date,Month,WeekOfYear,DayOfYear,WatchID,IncludeForRegression,WatchDurationMMss,WatchDurationMM,NumberNestsObserved,EventTime,EventTimeTrans,Event,NestID,UniqueNestID,ReceivedBy,UniqueChickID,PreyItem,PreyFamily,PreySizeBillLengths,PreySizeMM,Observer,Notes,ExcludeWatchFromFeedingRateCalculation,HandlingTimeSS,TimeArrived,TimeDeparted,GPSTag,ProvidedBy,video; time stamp
blind,2022,7/19/2022,Jul,30,200,2022_047,,,,,1:05 PM,13:05:00,feeding,D.19,2022.D.19,B,2022.D.19.B,?,unknown,0.5,,OAS,hake or krill,,,,,,,
blind,2022,6/29/2022,Jun,27,180,2022_008,,,,,14:56:00 PM,14:56:00 PM,feeding,D.09,2022.D.09,A,2022.D.09.A,?,unknown,0.5,,OAS,,,,,,,,
blind,2022,7/6/2022,Jul,28,187,2022_026,,,,,9:07 AM,9:07:00,feeding,R.45,2022.R.45,A,2022.R.45.A,?,unknown,2,,OAS,,,,,,,,
blind,2022,7/13/2022,Jul,29,194,2022_040,,,,,10:25 AM,10:25:00,feeding,D.29,2022.D.29,A or B,2022.D.29.A or B,?,unknown,?,,GLG,,,,,,,,
blind,2022,7/13/2022,Jul,29,194,2022_040,,,,,10:26 AM,10:26:00,feeding,D.29,2022.D.29,A or B,2022.D.29.A or B,?,unknown,?,,GLG,,,,,,,,
,,,,,,,,,,,9:50,,feeding,D.76,2022.D.76,B,2022.D.76.B,?,unknown,1,,GVC,,,,,,,,
blind,2020,7/8/2020,Jul,28,190,2020_050,,,,,9:08,9:08:00,feeding,SB.06,2020.SB.06,A,2020.SB.06.A,? (not fish),unknown,1,36.5,GBS,,,,,,,,
blind,2020,7/8/2020,Jul,28,190,2020_050,,,,,9:10,9:10:00,feeding,SB.06,2020.SB.06,A,2020.SB.06.A,? (not fish),unknown,0.5,18.25,GBS,,,,,,,,
blind,2020,7/8/2020,Jul,28,190,2020_050,,,,,9:12,9:12:00,feeding,SB.06,2020.SB.06,A,2020.SB.06.A,? (not fish),unknown,0.5,18.25,GBS,,,,,,,,
blind,2020,7/9/2020,Jul,28,191,2020_056,,,,,7:52,7:52:00,feeding,SB.01,2020.SB.01,A,2020.SB.01.A,? (not fish),unknown,0.5,18.25,GBS,,,,,,,,
