year,prey,n,minsize,meansize,maxsize,Effort (nest mins),proportion,abundance
1999,butterfish,17,2.8575,5.771029411764706,14.2875,41353,0.015755329008341055,4.110947210601407e-4
1999,cunner,4,3.81,7.14375,12.3825,41353,0.0037071362372567192,9.672816966120959e-5
1999,hake,633,1.905,4.554709394904458,11.43,41353,0.5866543095458758,0.015307232848886416
1999,herring,175,2.8575,7.228114285714286,14.2875,41353,0.16218721037998146,0.004231857422677919
1999,invertebrate,178,0.9525,2.303220338983051,7.62,41353,0.164967562557924,0.004304403549923826
1999,lumpfish,7,1.905,2.313214285714286,2.8575,41353,0.006487488415199258,1.6927429690711678e-4
1999,mackerel,2,3.81,7.14375,10.4775,41353,0.0018535681186283596,4.8364084830604794e-5
1999,pipefish,7,5.715,7.7560714285714285,9.525,41353,0.006487488415199258,1.6927429690711678e-4
1999,pollock,13,4.7625,7.62,11.43,41353,0.012048192771084338,3.1436655139893113e-4
1999,puffer,13,2.8575,3.6634615384615383,3.81,41353,0.012048192771084338,3.1436655139893113e-4
1999,sandlance,25,5.715,9.445625,15.24,41353,0.023169601482854494,6.045510603825599e-4
1999,sculpin,1,1.905,1.905,1.905,41353,9.267840593141798e-4,2.4182042415302397e-5
1999,stickleback,4,4.7625,4.7625,4.7625,41353,0.0037071362372567192,9.672816966120959e-5
2000,bluefish,4,5.715,7.14375,9.525,53609,0.005563282336578581,7.461433714488239e-5
2000,butterfish,15,3.81,6.3500000000000005,9.525,53609,0.02086230876216968,2.7980376429330894e-4
2000,chum,16,0.9525,2.20265625,4.7625,53609,0.022253129346314324,2.9845734857952957e-4
2000,cunner,8,1.905,6.6674999999999995,11.43,53609,0.011126564673157162,1.4922867428976479e-4
2000,goosefish,1,6.6675,6.6675,6.6675,53609,0.0013908205841446453,1.8653584286220598e-5
2000,hake,417,0.9525,4.609460431654676,11.43,53609,0.5799721835883171,0.007778544647353989
2000,herring,63,4.7625,7.942620967741935,13.335,53609,0.08762169680111266,0.0011751758100318976
2000,invertebrate,115,0.9525,1.7629605263157895,7.62,53609,0.1599443671766342,0.0021451621929153685
2000,lumpfish,38,1.905,2.8073684210526317,4.7625,53609,0.05285118219749652,7.088362028763827e-4
2000,mackerel,6,3.81,4.7625,7.62,53609,0.008344923504867872,1.1192150571732358e-4
2000,pipefish,5,3.81,6.477,8.5725,53609,0.006954102920723227,9.326792143110298e-5
2000,pollock,3,4.7625,6.35,8.5725,53609,0.004172461752433936,5.596075285866179e-5
2000,sandlance,18,3.81,7.8845833333333335,13.335,53609,0.025034770514603615,3.357645171519708e-4
2000,silverside,1,9.525,9.525,9.525,53609,0.0013908205841446453,1.8653584286220598e-5
2000,snipefish,6,3.81,5.55625,7.62,53609,0.008344923504867872,1.1192150571732358e-4
2000,stickleback,3,3.81,4.1275,4.7625,53609,0.004172461752433936,5.596075285866179e-5
2001,bluefish,80,2.8575,6.143625,9.525,36085,0.10139416983523447,0.0022169876680060967
2001,butterfish,11,2.8575,4.242954545454546,5.715,36085,0.01394169835234474,3.048358043508383e-4
2001,cunner,1,6.6675,6.6675,6.6675,36085,0.0012674271229404308,2.771234585007621e-5
2001,hake,186,0.9525,3.472016129032258,9.525,36085,0.23574144486692014,0.0051544963281141744
2001,herring,394,1.905,4.7044796954314725,13.335,36085,0.49936628643852976,0.010918664264930026
2001,invertebrate,50,0.9525,1.4478,9.525,36085,0.06337135614702155,0.0013856172925038105
2001,lumpfish,6,1.905,2.54,3.81,36085,0.0076045627376425855,1.6627407510045727e-4
2001,mackerel,1,11.43,11.43,11.43,36085,0.0012674271229404308,2.771234585007621e-5
2001,pollock,2,7.62,8.5725,9.525,36085,0.0025348542458808617,5.542469170015242e-5
2001,sandlance,54,2.8575,5.626805555555555,13.335,36085,0.06844106463878327,0.0014964666759041153
2001,stickleback,3,3.81,4.445,5.715,36085,0.0038022813688212928,8.313703755022863e-5
2001,whiting,1,7.62,7.62,7.62,36085,0.0012674271229404308,2.771234585007621e-5
2002,bluefish,43,1.905,4.363779069767442,6.6675,45441,0.06847133757961783,9.46281992033626e-4
2002,butterfish,21,2.8575,4.218214285714286,5.715,45441,0.03343949044585987,4.6213771703967785e-4
2002,cunner,3,2.8575,4.7625,5.715,45441,0.004777070063694267,6.601967386281111e-5
2002,hake,393,1.905,3.659732824427481,7.62,45441,0.6257961783439491,0.008648577276028257
2002,herring,21,2.8575,4.717142857142857,6.6675,45441,0.03343949044585987,4.6213771703967785e-4
2002,invertebrate,66,1.905,2.2127307692307694,9.525,45441,0.10509554140127389,0.0014524328249818446
2002,lumpfish,14,2.8575,2.9935714285714283,3.81,45441,0.022292993630573247,3.080918113597852e-4
2002,mackerel,39,1.905,4.151923076923077,6.6675,45441,0.06210191082802548,8.582557602165445e-4
2002,pipefish,1,5.715,5.715,5.715,45441,0.0015923566878980893,2.2006557954270374e-5
2002,pollock,1,3.81,3.81,3.81,45441,0.0015923566878980893,2.2006557954270374e-5
2002,sandlance,21,4.7625,7.3025,11.43,45441,0.03343949044585987,4.6213771703967785e-4
2002,silverside,2,2.8575,2.8575,2.8575,45441,0.0031847133757961785,4.401311590854075e-5
2002,stickleback,3,2.8575,2.8575,2.8575,45441,0.004777070063694267,6.601967386281111e-5
2003,butterfish,2,4.7625,6.6675,8.5725,6876,0.024691358024691357,2.9086678301337986e-4
2003,chum,12,0.9525,1.42875,1.905,6876,0.14814814814814814,0.0017452006980802793
2003,hake,22,2.8575,3.9398863636363637,5.715,6876,0.2716049382716049,0.0031995346131471784
2003,invertebrate,10,0.9525,2.0955,4.7625,6876,0.12345679012345678,0.0014543339150668994
2003,mackerel,28,1.905,5.612946428571429,9.525,6876,0.345679012345679,0.004072134962187318
2003,pipefish,1,7.62,7.62,7.62,6876,0.012345679012345678,1.4543339150668993e-4
2003,sandlance,6,4.7625,6.0325,7.62,6876,0.07407407407407407,8.726003490401396e-4
2004,butterfish,1,5.715,5.715,5.715,6900,0.011627906976744186,1.4492753623188405e-4
2004,hake,30,2.8575,4.0005,7.62,6900,0.3488372093023256,0.004347826086956522
2004,sandlance,55,3.81,7.135090909090909,11.43,6900,0.6395348837209303,0.007971014492753623
2005,butterfish,32,2.8575,4.6434375,7.62,30513,0.07111111111111111,0.00104873332677875
2005,chum,2,0.9525,1.42875,1.905,30513,0.0044444444444444444,6.554583292367187e-5
2005,cunner,4,3.81,5.476875,6.6675,30513,0.008888888888888889,1.3109166584734374e-4
2005,hake,275,1.905,5.008418181818182,7.62,30513,0.6111111111111112,0.009012552027004883
2005,herring,23,2.8575,5.632173913043478,10.4775,30513,0.051111111111111114,7.537770786222266e-4
2005,invertebrate,72,0.9525,1.6271875,7.62,30513,0.16,0.0023596499852521877
2005,lumpfish,23,0.9525,3.6443478260869564,6.6675,30513,0.051111111111111114,7.537770786222266e-4
2005,mackerel,9,3.81,5.185833333333333,7.62,30513,0.02,2.9495624815652346e-4
2005,pipefish,1,4.7625,4.7625,4.7625,30513,0.0022222222222222222,3.2772916461835936e-5
2005,sandlance,5,5.715,7.62,9.525,30513,0.011111111111111112,1.638645823091797e-4
2005,silverside,4,6.6675,7.381875,7.62,30513,0.008888888888888889,1.3109166584734374e-4
2006,butterfish,18,2.8575,5.939117647058824,7.62,11635,0.056782334384858045,0.0015470562956596476
2006,chum,2,0.9525,0.9525,0.9525,11635,0.006309148264984227,1.7189514396218306e-4
2006,cunner,1,5.715,5.715,5.715,11635,0.0031545741324921135,8.594757198109153e-5
2006,hake,147,1.905,5.015204081632653,7.62,11635,0.4637223974763407,0.012634293081220455
2006,herring,10,5.715,7.14375,10.4775,11635,0.031545741324921134,8.594757198109154e-4
2006,invertebrate,122,0.9525,1.5380532786885246,9.525,11635,0.38485804416403785,0.010485603781693166
2006,lumpfish,3,0.9525,1.905,2.8575,11635,0.00946372239747634,2.578427159432746e-4
2006,mackerel,3,7.62,8.89,11.43,11635,0.00946372239747634,2.578427159432746e-4
2006,sandlance,11,0.9525,9.784772727272728,15.24,11635,0.03470031545741325,9.454232917920069e-4
2007,bluefish,1,5.715,5.715,5.715,28620,0.002036659877800407,3.4940600978336826e-5
2007,butterfish,8,4.7625,6.429375,9.525,28620,0.016293279022403257,2.795248078266946e-4
2007,cunner,2,3.81,3.81,3.81,28620,0.004073319755600814,6.988120195667365e-5
2007,hake,227,0.9525,4.716343612334802,9.525,28620,0.4623217922606925,0.00793151642208246
2007,herring,128,3.81,5.94568359375,9.525,28620,0.2606924643584521,0.004472396925227114
2007,invertebrate,34,0.9525,2.465294117647059,6.6675,28620,0.06924643584521385,0.0011879804332634522
2007,lumpfish,8,2.8575,2.9765625,3.81,28620,0.016293279022403257,2.795248078266946e-4
2007,mackerel,52,0.9525,6.942259615384615,9.525,28620,0.10590631364562118,0.001816911250873515
2007,pollock,1,5.715,5.715,5.715,28620,0.002036659877800407,3.4940600978336826e-5
2007,sandlance,27,3.81,6.314722222222223,11.43,28620,0.054989816700611,9.433962264150943e-4
2007,silverside,2,5.715,5.715,5.715,28620,0.004073319755600814,6.988120195667365e-5
2007,stickleback,1,3.81,3.81,3.81,28620,0.002036659877800407,3.4940600978336826e-5
2008,butterfish,11,3.81,4.242954545454546,4.7625,20670,0.02894736842105263,5.321722302854379e-4
2008,chum,2,2.8575,2.8575,2.8575,20670,0.005263157894736842,9.675858732462506e-5
2008,cunner,2,2.8575,4.28625,5.715,20670,0.005263157894736842,9.675858732462506e-5
2008,hake,137,2.8575,4.025529197080292,7.62,20670,0.3605263157894737,0.006627963231736817
2008,herring,117,2.8575,4.6078205128205125,14.2875,20670,0.3078947368421053,0.005660377358490566
2008,invertebrate,84,1.905,1.950357142857143,4.7625,20670,0.22105263157894736,0.0040638606676342524
2008,mackerel,6,3.81,5.715,9.525,20670,0.015789473684210527,2.9027576197387516e-4
2008,sandlance,20,2.8575,4.953,6.6675,20670,0.05263157894736842,9.675858732462506e-4
2008,stickleback,1,2.8575,2.8575,2.8575,20670,0.002631578947368421,4.837929366231253e-5
2009,butterfish,17,2.8575,3.753970588235294,5.715,4267,0.13821138211382114,0.00398406374501992
2009,hake,33,2.8575,5.208984375,7.62,4267,0.2682926829268293,0.007733770799156316
2009,herring,57,2.8575,5.631447368421052,9.525,4267,0.4634146341463415,0.013358331380360909
2009,invertebrate,2,0.9525,3.3337499999999998,5.715,4267,0.016260162601626018,4.6871338176704945e-4
2009,mackerel,10,2.8575,4.953,6.6675,4267,0.08130081300813008,0.002343566908835247
2009,sandlance,4,4.7625,8.5725,11.43,4267,0.032520325203252036,9.374267635340989e-4
2010,butterfish,10,2.8575,4.85775,7.62,23001,0.031545741324921134,4.347637059258293e-4
2010,hake,52,2.8575,5.018942307692308,8.5725,23001,0.1640378548895899,0.0022607712708143123
2010,herring,175,1.905,5.558117647058824,10.4775,23001,0.5520504731861199,0.007608364853702013
2010,invertebrate,4,0.9525,2.38125,4.7625,23001,0.012618296529968454,1.7390548237033172e-4
2010,mackerel,71,0.9525,6.573591549295775,14.2875,23001,0.22397476340694006,0.0030868223120733883
2010,sandlance,4,4.7625,5.2387500000000005,6.6675,23001,0.012618296529968454,1.7390548237033172e-4
2010,stickleback,1,4.7625,4.7625,4.7625,23001,0.0031545741324921135,4.347637059258293e-5
2011,butterfish,106,3.81,5.283679245283019,13.335,23896,0.29041095890410956,0.00443588885169066
2011,cunner,2,3.81,5.715,7.62,23896,0.005479452054794521,8.369601606963509e-5
2011,hake,137,1.905,5.047554744525548,8.5725,23896,0.37534246575342467,0.005733177100770003
2011,herring,69,3.81,5.632173913043478,8.5725,23896,0.18904109589041096,0.0028875125544024103
2011,invertebrate,10,0.9525,2.0108333333333333,5.715,23896,0.0273972602739726,4.184800803481754e-4
2011,mackerel,16,2.8575,4.82203125,6.6675,23896,0.043835616438356165,6.695681285570807e-4
2011,sandlance,22,2.8575,5.325340909090909,8.5725,23896,0.06027397260273973,9.206561767659859e-4
2011,snipefish,3,4.7625,6.3500000000000005,7.62,23896,0.00821917808219178,1.2554402410445262e-4
2012,butterfish,6,5.715,8.41375,10.4775,2814,0.08450704225352113,0.0021321961620469083
2012,herring,44,3.81,6.299488636363637,11.43,2814,0.6197183098591549,0.015636105188343994
2012,mackerel,10,4.7625,6.38175,7.62,2814,0.14084507042253522,0.0035536602700781805
2012,sandlance,11,4.7625,9.871363636363636,12.3825,2814,0.15492957746478872,0.0039090262970859985
2013,butterfish,4,3.81,4.28625,5.715,21690,0.015384615384615385,1.8441678192715537e-4
2013,hake,158,0.9525,4.6901582278481015,11.43,21690,0.6076923076923076,0.007284462886122637
2013,herring,81,0.9525,5.526851851851852,11.43,21690,0.31153846153846154,0.0037344398340248964
2013,invertebrate,5,1.905,3.4290000000000003,3.81,21690,0.019230769230769232,2.305209774089442e-4
2013,mackerel,3,5.715,7.62,9.525,21690,0.011538461538461539,1.3831258644536652e-4
2013,pollock,1,9.525,9.525,9.525,21690,0.0038461538461538464,4.610419548178884e-5
2013,sandlance,8,1.905,6.6675,11.43,21690,0.03076923076923077,3.6883356385431073e-4
2014,bluefish,1,Inf,NA,-Inf,33816,0.0020325203252032522,2.9571800331204164e-5
2014,butterfish,31,Inf,NA,-Inf,33816,0.06300813008130081,9.167258102673291e-4
2014,chum,1,Inf,NA,-Inf,33816,0.0020325203252032522,2.9571800331204164e-5
2014,cunner,2,Inf,NA,-Inf,33816,0.0040650406504065045,5.914360066240833e-5
2014,hake,174,Inf,NA,-Inf,33816,0.35365853658536583,0.005145493257629525
2014,herring,148,Inf,NA,-Inf,33816,0.3008130081300813,0.0043766264490182165
2014,invertebrate,32,Inf,NA,-Inf,33816,0.06504065040650407,9.462976105985332e-4
2014,lumpfish,2,Inf,NA,-Inf,33816,0.0040650406504065045,5.914360066240833e-5
2014,mackerel,5,Inf,NA,-Inf,33816,0.01016260162601626,1.4785900165602083e-4
2014,pipefish,2,Inf,NA,-Inf,33816,0.0040650406504065045,5.914360066240833e-5
2014,pollock,8,Inf,NA,-Inf,33816,0.016260162601626018,2.365744026496333e-4
2014,rock gunnel,1,Inf,NA,-Inf,33816,0.0020325203252032522,2.9571800331204164e-5
2014,sandlance,85,Inf,NA,-Inf,33816,0.17276422764227642,0.002513603028152354
2015,butterfish,13,3.81,5.715,7.62,38383,0.03051643192488263,3.3869160826407524e-4
2015,chum,2,0.9525,0.9525,0.9525,38383,0.004694835680751174,5.210640127139619e-5
2015,cunner,2,3.81,5.715,7.62,38383,0.004694835680751174,5.210640127139619e-5
2015,goosefish,1,5.715,5.715,5.715,38383,0.002347417840375587,2.6053200635698095e-5
2015,hake,216,1.905,5.662083333333333,10.4775,38383,0.5070422535211268,0.005627491337310789
2015,herring,91,2.8575,5.851071428571429,8.5725,38383,0.2136150234741784,0.0023708412578485267
2015,invertebrate,2,6.6675,6.6675,6.6675,38383,0.004694835680751174,5.210640127139619e-5
2015,mackerel,5,4.7625,5.5245,6.6675,38383,0.011737089201877934,1.302660031784905e-4
2015,menhaden,2,2.8575,4.28625,5.715,38383,0.004694835680751174,5.210640127139619e-5
2015,mummichog,2,3.81,3.81,3.81,38383,0.004694835680751174,5.210640127139619e-5
2015,sandlance,61,1.905,6.761188524590164,12.3825,38383,0.1431924882629108,0.0015892452387775838
2015,silverside,23,2.8575,5.628409090909091,9.525,38383,0.0539906103286385,5.992236146210562e-4
2015,snipefish,1,4.7625,4.7625,4.7625,38383,0.002347417840375587,2.6053200635698095e-5
2015,stickleback,5,3.81,4.953,7.62,38383,0.011737089201877934,1.302660031784905e-4
2017,butterfish,19,7.62,8.722894736842106,11.43,12265,0.22093023255813954,0.0015491235222176926
