Season,Year,Tow_Number,Region,Stratum,Common_name,Length,Unit_of_Length,Weight_in_grams,Sex,Maturity_stage
Spring,2003,97,5,1,Flounder Winter,11,CM,14,Male,I
Spring,2003,97,5,1,Flounder Winter,16,CM,36,Male,S
Spring,2003,97,5,1,Flounder Winter,32,CM,386,Male,U
Spring,2003,97,5,1,Flounder Winter,20,CM,90,Female,D
Spring,2003,97,5,1,Flounder Winter,16,CM,34,Male,R
Spring,2003,97,5,1,Flounder Winter,16,CM,47,Female,I
Spring,2003,97,5,1,Flounder Winter,13,CM,22,Female,T
Spring,2003,97,5,1,Flounder Winter,17,CM,51,Male,T
Spring,2003,97,5,1,Flounder Winter,10,CM,10,Female,I
Spring,2003,97,5,1,Flounder Winter,12,CM,17,Female,I
Spring,2003,97,5,1,Flounder Winter,16,CM,43,Female,I
Spring,2003,97,5,1,Flounder Winter,15,CM,33,Female,I
Spring,2003,97,5,1,Flounder Winter,18,CM,59,Male,R
Spring,2003,97,5,1,Flounder Winter,20,CM,82,Male,S
Spring,2003,97,5,1,Flounder Winter,21,CM,103,Male,R
Spring,2003,97,5,1,Flounder Winter,13,CM,24,Male,R
Spring,2003,97,5,1,Flounder Winter,24,CM,176,Female,R
Spring,2003,97,5,1,Flounder Winter,17,CM,52,Male,I
Spring,2003,97,5,1,Flounder Winter,7,CM,4,Female,I
Spring,2003,97,5,1,Flounder Winter,14,CM,28,Male,I
Spring,2003,97,5,1,Flounder Winter,12,CM,17,Female,I
Spring,2003,97,5,1,Flounder Winter,13,CM,21,Female,I
Spring,2003,97,5,1,Flounder Winter,14,CM,30,Male,I
Spring,2003,97,5,1,Flounder Winter,20,CM,86,Female,T
Spring,2003,97,5,1,Flounder Winter,14,CM,24,Male,R
Spring,2003,96,5,2,Plaice American (Dab),17,CM,37,Male,T
Spring,2003,96,5,2,Plaice American (Dab),20,CM,50,Male,T
Spring,2003,96,5,2,Plaice American (Dab),22,CM,66,Male,I
Spring,2003,96,5,2,Plaice American (Dab),50,CM,1260,Female,R
Spring,2003,96,5,2,Plaice American (Dab),24,CM,88,Male,I
Spring,2003,96,5,2,Plaice American (Dab),18,CM,39,Female,I
Spring,2003,96,5,2,Plaice American (Dab),34,CM,243,Female,T
Spring,2003,96,5,2,Plaice American (Dab),18,CM,42,Male,S
Spring,2003,96,5,2,Plaice American (Dab),28,CM,143,Male,S
