Survey,Season,Year,Tow_Number,Region,Depth_Stratum,Grid,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Start_Date,Tow_Time,Start_Depth_fathoms,End_Depth_fathoms,Tow_Type,Tow_LengthNM,Air_Temp,Bottom_WaterTemp_DegC,Bottom_Salinity,Surface_WaterTemp_DegC,Surface_Salinity
FL00,Fall,2000,1,1,2,392,43.0215,-70.5658,43.0298,-70.5561,2000-10-30T10:29:00Z,0:17,33,30,R,0.66,,,,,
FL00,Fall,2000,2,1,3,409,43.002,-70.5171,43.0107,-70.5034,2000-10-30T11:47:00Z,0:20,46,46,R,0.82,,,,,
FL00,Fall,2000,3,1,1,472,42.9354,-70.7462,42.9243,-70.7585,2000-11-01T08:30:00Z,0:20,13,14,R,0.89,,,,,
FL00,Fall,2000,4,1,2,445,42.9555,-70.6667,42.9433,-70.6796,2000-11-01T10:47:00Z,0:20,23,25,R,0.94,,10.5,32.33,10.3,32.33
FL00,Fall,2000,5,1,2,464,42.9528,-70.5948,42.9434,-70.6087,2000-11-01T12:15:00Z,0:20,34,35,R,0.83,,10.8,32.4,10.4,32.33
FL00,Fall,2000,6,1,1,417,42.9808,-70.6519,42.9968,-70.637,2000-11-01T14:30:00Z,0:20,12,14,R,1.16,,10.2,32.37,10.9,32.4
FL00,Fall,2000,7,1,3,368,43.0692,-70.4196,43.0567,-70.4342,2000-11-02T08:18:00Z,0:20,49,49,R,0.96,,8.8,32.88,10.6,32.53
FL00,Fall,2000,8,1,3,305,43.1421,-70.3947,43.1533,-70.3723,2000-11-02T10:02:00Z,0:20,46,,NA,1.21,,,,,
FL00,Fall,2000,9,1,1,171,43.2968,-70.4961,43.2861,-70.4964,2000-11-03T09:05:00Z,0:14,19,18,R,0.74,,,,,
FL00,Fall,2000,10,1,2,68,43.4209,-70.2942,43.4307,-70.2817,2000-11-03T13:05:00Z,0:20,34.5,30.5,NA,0.79,,9.8,32.8,9.9,32.41
FL00,Fall,2000,11,1,1,11,43.5055,-70.3494,43.5182,-70.3373,2000-11-03T14:46:00Z,0:20,7,8,R,0.94,,9.5,32.51,10,32.37
FL00,Fall,2000,12,1,2,27,43.512,-70.1943,43.5017,-70.2073,2000-11-04T07:37:00Z,0:20,34.6,33.5,R,0.85,,10.4,32.85,10,32.62
FL00,Fall,2000,14,1,3,100,43.4058,-70.138,43.396,-70.1283,2000-11-04T09:25:00Z,0:18,52,47,R,0.74,,10.5,33.03,10.5,32.92
FL00,Fall,2000,13,1,3,96,43.3987,-70.2338,43.3844,-70.2425,2000-11-04T11:00:00Z,0:20,48,46.3,RA,0.93,,,,,
FL00,Fall,2000,15,2,3,556,43.50518,-70.04458,43.5178,-70.0328,2000-11-04T12:25:00Z,0:20,55,53.5,R,0.93,,10.3,33.13,10.2,33.13
FL00,Fall,2000,16,2,3,553,43.5177,-70.1136,43.502,-70.1101,2000-11-04T13:52:00Z,0:20,42,40,R,0.98,,10.3,33.13,10.5,32.88
FL00,Fall,2000,17,2,1,362,43.6487,-70.0962,43.6609,-70.0823,2000-11-06T08:20:00Z,0:20,20.7,19,R,0.95,,10,32.47,9.8,32.43
FL00,Fall,2000,18,2,1,220,43.725,-69.9106,43.7066,-69.9167,2000-11-06T10:48:00Z,0:20,12.5,11.5,NA,1.15,,10.2,32.51,9.6,32.29
FL00,Fall,2000,19,2,3,463,43.5986,-69.875,43.6103,-69.8601,2000-11-07T09:42:00Z,0:20,45,47,NA,1.01,,10.4,33.13,10.3,32.94
FL00,Fall,2000,20,2,1,375,43.6476,-69.8064,43.6614,-69.7889,2000-11-07T12:16:00Z,0:20,19,21,NA,1.14,,10.4,32.88,10.1,32.52
FL00,Fall,2000,21,2,1,264,43.7114,-69.7724,43.7015,-69.7633,2000-11-07T14:26:00Z,0:20,16.6,11.1,R,0.77,,10.4,32.84,9.8,30.5
FL00,Fall,2000,22,2,1,108,43.7935,-69.6454,43.8077,-69.6442,2000-11-08T09:00:00Z,0:20,17,21,R,0.87,,9.8,32.79,10,32.8
FL00,Fall,2000,23,2,2,194,43.742,-69.6499,43.7542,-69.6477,2000-11-08T10:54:00Z,0:20,34,36,NA,0.76,,10.1,32.81,10.1,32.79
FL00,Fall,2000,24,2,3,533,43.5411,-69.6942,43.5537,-69.7065,2000-11-08T13:21:00Z,0:20,62,65,RA,0.93,,10.2,33.26,10.2,33.24
FL00,Fall,2000,25,2,3,446,43.6245,-69.6013,43.6385,-69.595,2000-11-08T15:08:00Z,0:18,52,56,NA,0.9,,10.3,33.23,10.3,33.01
FL00,Fall,2000,26,2,2,88,43.8046,-69.5291,43.8119,-69.5376,2000-11-09T08:35:00Z,0:16,30,30,NA,0.58,,10.1,32.81,10.1,32.69
FL00,Fall,2000,27,2,2,55,43.8251,-69.4877,43.836,-69.4879,2000-11-09T10:34:00Z,0:18,36,,NA,0.69,,,,,
FL00,Fall,2000,28,2,1,6,43.904,-69.456,43.9142,-69.4454,2000-11-09T12:55:00Z,0:18,10,14,R,0.77,,9.7,32.69,9.7,32.7
FL00,Fall,2000,29,2,3,284,43.7021,-69.2933,43.6958,-69.2842,2000-11-10T09:38:00Z,0:14,58,51,RA,0.57,,,,,
FL00,Fall,2000,30,2,2,63,43.8446,-69.2924,43.8334,-69.3084,2000-11-10T12:20:00Z,0:20,36,32.5,R,0.99,,10.4,32.95,10.1,32.46
FL00,Fall,2000,31,3,2,446,43.8351,-69.1135,43.8492,-69.1103,2000-11-13T10:32:00Z,0:19,34,37.4,R,0.9,,10.1,33.11,10,33.03
FL00,Fall,2000,32,3,2,399,43.858,-69.0842,43.8758,-69.0798,2000-11-13T12:15:00Z,0:18,32,,R,1.11,,,,,
