Season,Year,Common_Name,TotCatch,n,Prop
Spring,2001,Herring Atlantic,227,7,0.08139534883720931
Spring,2002,Herring Atlantic,2458,11,0.14285714285714285
Spring,2003,Herring Atlantic,23919,12,0.13333333333333333
Spring,2004,Herring Atlantic,4238,11,0.11578947368421053
Spring,2005,Herring Atlantic,995,8,0.125
Spring,2006,Herring Atlantic,8444,15,0.11627906976744186
Spring,2007,Herring Atlantic,5942,12,0.10714285714285714
Spring,2008,Herring Atlantic,1463,17,0.12408759124087591
Spring,2009,Herring Atlantic,1304,13,0.0962962962962963
Spring,2010,Herring Atlantic,12382,14,0.12173913043478261
Spring,2011,Herring Atlantic,11459,18,0.13333333333333333
Spring,2012,Herring Atlantic,14078,18,0.14173228346456693
Spring,2013,Herring Atlantic,14867,21,0.16153846153846155
Spring,2014,Herring Atlantic,7216,18,0.1258741258741259
Spring,2015,Herring Atlantic,11485,19,0.12418300653594772
Spring,2016,Herring Atlantic,1476,17,0.0913978494623656
Spring,2017,Herring Atlantic,5635,17,0.1069182389937107
Spring,2018,Herring Atlantic,3291,19,0.14960629921259844
Spring,2019,Herring Atlantic,21564,20,0.14285714285714285
Spring,2021,Herring Atlantic,529,13,0.09923664122137404
Spring,2022,Herring Atlantic,4550,12,0.10434782608695652
