Season,Year,Common_Name,TotCatch,n,Prop
Fall,2000,Alewife,933,9,0.10975609756097561
Fall,2000,Butterfish,13,5,0.06097560975609756
Fall,2000,Cunner,8,1,0.012195121951219513
Fall,2000,Hake Atlantic Red,899,12,0.14634146341463414
Fall,2000,Hake Silver (Whiting),5920,12,0.14634146341463414
Fall,2000,Hake White,154,9,0.10975609756097561
Fall,2000,Herring Atlantic,736,9,0.10975609756097561
Fall,2000,Mackerel Atlantic,88,4,0.04878048780487805
Fall,2000,Monkfish,141,11,0.13414634146341464
Fall,2000,Pollock,11,6,0.07317073170731707
Fall,2000,Shad American,5,3,0.036585365853658534
Fall,2000,Smelt Rainbow,32,1,0.012195121951219513
Fall,2001,Alewife,915,8,0.09411764705882353
Fall,2001,Butterfish,366,10,0.11764705882352941
Fall,2001,Cunner,2,2,0.023529411764705882
Fall,2001,Hake Atlantic Red,1102,12,0.1411764705882353
Fall,2001,Hake Silver (Whiting),11843,12,0.1411764705882353
Fall,2001,Hake White,114,11,0.12941176470588237
Fall,2001,Herring Atlantic,2480,10,0.11764705882352941
Fall,2001,Mackerel Atlantic,4,2,0.023529411764705882
Fall,2001,Monkfish,410,12,0.1411764705882353
Fall,2001,Pollock,4,4,0.047058823529411764
Fall,2001,Shad American,5,2,0.023529411764705882
Fall,2002,Alewife,255,8,0.11764705882352941
Fall,2002,Butterfish,1103,8,0.11764705882352941
Fall,2002,Cunner,1,1,0.014705882352941176
Fall,2002,Hake Atlantic Red,613,8,0.11764705882352941
Fall,2002,Hake Silver (Whiting),5235,9,0.1323529411764706
Fall,2002,Hake White,49,5,0.07352941176470588
Fall,2002,Herring Atlantic,1410,9,0.1323529411764706
Fall,2002,Herring Blueback,52,2,0.029411764705882353
Fall,2002,Mackerel Atlantic,59,6,0.08823529411764706
Fall,2002,Monkfish,179,7,0.10294117647058823
Fall,2002,Moonfish Atlantic,1,1,0.014705882352941176
Fall,2002,Pollock,88,2,0.029411764705882353
Fall,2002,Shad American,1,1,0.014705882352941176
Fall,2002,Smelt Rainbow,1,1,0.014705882352941176
Fall,2003,Alewife,453,7,0.09210526315789473
Fall,2003,Butterfish,520,7,0.09210526315789473
Fall,2003,Cunner,45,3,0.039473684210526314
Fall,2003,Hake Atlantic Red,503,7,0.09210526315789473
Fall,2003,Hake Silver (Whiting),8992,9,0.11842105263157894
Fall,2003,Hake White,54,8,0.10526315789473684
Fall,2003,Herring Atlantic,2814,9,0.11842105263157894
Fall,2003,Herring Blueback,127,6,0.07894736842105263
Fall,2003,Mackerel Atlantic,323,3,0.039473684210526314
Fall,2003,Monkfish,70,7,0.09210526315789473
Fall,2003,Pollock,5,3,0.039473684210526314
Fall,2003,Shad American,12,5,0.06578947368421052
Fall,2003,Smelt Rainbow,2,2,0.02631578947368421
Fall,2004,Alewife,1285,12,0.1188118811881188
Fall,2004,Butterfish,945,10,0.09900990099009901
Fall,2004,Cunner,17,1,0.009900990099009901
Fall,2004,Hake Atlantic Red,378,11,0.10891089108910891
Fall,2004,Hake Silver (Whiting),11705,12,0.1188118811881188
Fall,2004,Hake White,147,11,0.10891089108910891
Fall,2004,Herring Atlantic,17310,12,0.1188118811881188
Fall,2004,Herring Blueback,44,9,0.0891089108910891
Fall,2004,Mackerel Atlantic,57,2,0.019801980198019802
Fall,2004,Monkfish,78,11,0.10891089108910891
Fall,2004,Pollock,3,1,0.009900990099009901
Fall,2004,Shad American,31,7,0.06930693069306931
Fall,2004,Smelt Rainbow,221,2,0.019801980198019802
Fall,2005,Alewife,489,9,0.12857142857142856
Fall,2005,Butterfish,546,6,0.08571428571428572
Fall,2005,Cunner,5,2,0.02857142857142857
Fall,2005,Hake Atlantic Red,194,6,0.08571428571428572
Fall,2005,Hake Silver (Whiting),585,7,0.1
Fall,2005,Hake White,70,6,0.08571428571428572
Fall,2005,Herring Atlantic,2485,8,0.11428571428571428
Fall,2005,Herring Blueback,65,6,0.08571428571428572
Fall,2005,Mackerel Atlantic,1947,6,0.08571428571428572
Fall,2005,Monkfish,23,6,0.08571428571428572
Fall,2005,Pollock,1,1,0.014285714285714285
Fall,2005,Shad American,50,5,0.07142857142857142
Fall,2005,Smelt Rainbow,152,2,0.02857142857142857
Fall,2006,Alewife,1577,13,0.10655737704918032
Fall,2006,Butterfish,2235,14,0.11475409836065574
Fall,2006,Cunner,92,6,0.04918032786885246
Fall,2006,Hake Atlantic Red,281,15,0.12295081967213115
Fall,2006,Hake Silver (Whiting),1747,14,0.11475409836065574
Fall,2006,Hake White,91,12,0.09836065573770492
Fall,2006,Herring Atlantic,730,15,0.12295081967213115
Fall,2006,Herring Blueback,81,4,0.03278688524590164
Fall,2006,Mackerel Atlantic,278,3,0.02459016393442623
Fall,2006,Monkfish,65,12,0.09836065573770492
Fall,2006,Moonfish Atlantic,44,1,0.00819672131147541
Fall,2006,Pollock,2,2,0.01639344262295082
Fall,2006,Shad American,21,6,0.04918032786885246
Fall,2006,Silverside Atlantic,239,3,0.02459016393442623
Fall,2006,Smelt Rainbow,97,2,0.01639344262295082
Fall,2007,Alewife,264,10,0.08620689655172414
Fall,2007,Butterfish,351,7,0.0603448275862069
Fall,2007,Cunner,69,4,0.034482758620689655
Fall,2007,Hake Atlantic Red,476,16,0.13793103448275862
Fall,2007,Hake Silver (Whiting),5706,16,0.13793103448275862
Fall,2007,Hake White,395,17,0.14655172413793102
Fall,2007,Herring Atlantic,1577,15,0.12931034482758622
Fall,2007,Herring Blueback,79,4,0.034482758620689655
Fall,2007,Mackerel Atlantic,82,4,0.034482758620689655
Fall,2007,Monkfish,106,14,0.1206896551724138
Fall,2007,Shad American,147,8,0.06896551724137931
Fall,2007,Smelt Rainbow,1,1,0.008620689655172414
Fall,2008,Alewife,195,11,0.12087912087912088
Fall,2008,Butterfish,2554,7,0.07692307692307693
Fall,2008,Cunner,19,5,0.054945054945054944
Fall,2008,Hake Atlantic Red,562,11,0.12087912087912088
Fall,2008,Hake Silver (Whiting),12815,11,0.12087912087912088
Fall,2008,Hake White,534,12,0.13186813186813187
Fall,2008,Herring Atlantic,2922,11,0.12087912087912088
Fall,2008,Herring Blueback,2,1,0.01098901098901099
Fall,2008,Mackerel Atlantic,1,1,0.01098901098901099
Fall,2008,Monkfish,169,10,0.10989010989010989
Fall,2008,Sand Lance American,107,2,0.02197802197802198
Fall,2008,Shad American,60,7,0.07692307692307693
Fall,2008,Smelt Rainbow,35,2,0.02197802197802198
Fall,2009,Alewife,2594,15,0.12096774193548387
Fall,2009,Butterfish,2175,15,0.12096774193548387
Fall,2009,Cunner,40,2,0.016129032258064516
Fall,2009,Hake Atlantic Red,473,14,0.11290322580645161
Fall,2009,Hake Silver (Whiting),15938,16,0.12903225806451613
Fall,2009,Hake White,405,15,0.12096774193548387
Fall,2009,Herring Atlantic,3442,15,0.12096774193548387
Fall,2009,Herring Blueback,130,5,0.04032258064516129
Fall,2009,Mackerel Atlantic,7,2,0.016129032258064516
Fall,2009,Monkfish,77,11,0.08870967741935484
Fall,2009,Pollock,2,2,0.016129032258064516
Fall,2009,Sand Lance American,13,1,0.008064516129032258
Fall,2009,Shad American,87,9,0.07258064516129033
Fall,2009,Smelt Rainbow,7,2,0.016129032258064516
Fall,2010,Alewife,316,13,0.10569105691056911
Fall,2010,Butterfish,796,13,0.10569105691056911
Fall,2010,Cunner,40,3,0.024390243902439025
Fall,2010,Hake Atlantic Red,809,13,0.10569105691056911
Fall,2010,Hake Silver (Whiting),10363,14,0.11382113821138211
Fall,2010,Hake White,217,14,0.11382113821138211
Fall,2010,Herring Atlantic,16721,14,0.11382113821138211
