SampleID,Month,Day,Year,StationName,DescriptionofArea,CommonName,Count
1997001,6,11,1997,Broad Cove (BS),Little Bay/Great Bay,"HAKE, WHITE",1
1997001,6,11,1997,Broad Cove (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",5
1997001,6,11,1997,Broad Cove (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),2
1997001,6,11,1997,Broad Cove (BS),Little Bay/Great Bay,"STICKLEBACK, FOURSPINE",1
1997001,6,11,1997,Broad Cove (BS),Little Bay/Great Bay,"FLOUNDER, SMOOTH",6
1997001,6,11,1997,Broad Cove (BS),Little Bay/Great Bay,"STICKLEBACK, THREESPINE",1
1997001,6,11,1997,Broad Cove (BS),Little Bay/Great Bay,"CRAB, GREEN",4
1997002,6,11,1997,Moody Point(BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",4
1997002,6,11,1997,Moody Point(BS),Little Bay/Great Bay,"TOMCOD, ATLANTIC",2
1997002,6,11,1997,Moody Point(BS),Little Bay/Great Bay,"PERCH, WHITE (MARINE)",1
1997002,6,11,1997,Moody Point(BS),Little Bay/Great Bay,"HERRING, BLUEBACK (MARINE)",1
1997002,6,11,1997,Moody Point(BS),Little Bay/Great Bay,"CRAB, HORSESHOE",3
1997003,6,11,1997,Herod's Cove (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",5
1997003,6,11,1997,Herod's Cove (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),1
1997003,6,11,1997,Herod's Cove (BS),Little Bay/Great Bay,"TOMCOD, ATLANTIC",1
1997003,6,11,1997,Herod's Cove (BS),Little Bay/Great Bay,"HERRING, BLUEBACK (MARINE)",1
1997003,6,11,1997,Herod's Cove (BS),Little Bay/Great Bay,"FLOUNDER, SMOOTH",1
1997003,6,11,1997,Herod's Cove (BS),Little Bay/Great Bay,"STICKLEBACK, FOURSPINE",7
1997003,6,11,1997,Herod's Cove (BS),Little Bay/Great Bay,"CRAB, GREEN",4
1997004,6,12,1997,General Sullivan Cove (BS),Piscataqua River,"CRAB, GREEN",9
1997004,6,12,1997,General Sullivan Cove (BS),Piscataqua River,"SMELT, RAINBOW (MARINE)",75
1997004,6,12,1997,General Sullivan Cove (BS),Piscataqua River,"CRAB, HORSESHOE",2
1997004,6,12,1997,General Sullivan Cove (BS),Piscataqua River,"FLOUNDER, WINTER (BLACKBACK)",5
1997004,6,12,1997,General Sullivan Cove (BS),Piscataqua River,"STICKLEBACK, FOURSPINE",1
1997004,6,12,1997,General Sullivan Cove (BS),Piscataqua River,"RAVEN, SEA",3
