SampleID,Month,Day,Year,StationID,Temp,Salinity,SubstrateName,StationName,Area,DescriptionofArea
1997001,6,11,1997,54,20,26,MUD,General Sullivan Cove (BS),RI,Piscataqua River
1997001,6,11,1997,54,20,26,MUD,Moody Point(BS),GB,Little Bay/Great Bay
1997002,6,11,1997,107,22,24,MUD,Moody Point(BS),GB,Little Bay/Great Bay
1997002,6,11,1997,107,22,24,MUD,General Sullivan Cove (BS),RI,Piscataqua River
1997003,6,11,1997,93,23,24,SAND,Odiorne Beach (BS),LH,Little Harbor
1997003,6,11,1997,93,23,24,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997003,6,11,1997,93,23,24,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997003,6,11,1997,93,23,24,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
1997004,6,12,1997,35,19,,MUD,General Sullivan Cove (BS),RI,Piscataqua River
1997004,6,12,1997,35,19,,MUD,Moody Point(BS),GB,Little Bay/Great Bay
1997005,6,12,1997,39,23,,SAND,Odiorne Beach (BS),LH,Little Harbor
1997005,6,12,1997,39,23,,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997005,6,12,1997,39,23,,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
1997005,6,12,1997,39,23,,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997006,6,12,1997,147,23,,MUD,General Sullivan Cove (BS),RI,Piscataqua River
1997006,6,12,1997,147,23,,MUD,Moody Point(BS),GB,Little Bay/Great Bay
1997007,6,25,1997,23,17,30,SAND,Odiorne Beach (BS),LH,Little Harbor
1997007,6,25,1997,23,17,30,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997007,6,25,1997,23,17,30,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997007,6,25,1997,23,17,30,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
1997008,6,25,1997,33,20,30,SAND,Odiorne Beach (BS),LH,Little Harbor
1997008,6,25,1997,33,20,30,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997008,6,25,1997,33,20,30,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997008,6,25,1997,33,20,30,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
1997009,6,25,1997,25,15,30,SAND,Odiorne Beach (BS),LH,Little Harbor
1997009,6,25,1997,25,15,30,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997009,6,25,1997,25,15,30,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997009,6,25,1997,25,15,30,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
1997010,6,25,1997,29,18,30,SAND,Odiorne Beach (BS),LH,Little Harbor
1997010,6,25,1997,29,18,30,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
1997010,6,25,1997,29,18,30,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997010,6,25,1997,29,18,30,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997011,6,26,1997,7,18,30,MUD,General Sullivan Cove (BS),RI,Piscataqua River
1997011,6,26,1997,7,18,30,MUD,Moody Point(BS),GB,Little Bay/Great Bay
1997012,6,26,1997,5,17,30,SAND,Odiorne Beach (BS),LH,Little Harbor
1997012,6,26,1997,5,17,30,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997012,6,26,1997,5,17,30,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
1997012,6,26,1997,5,17,30,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997013,6,26,1997,9,17,30,SAND,Odiorne Beach (BS),LH,Little Harbor
1997013,6,26,1997,9,17,30,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997013,6,26,1997,9,17,30,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997013,6,26,1997,9,17,30,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
1997014,6,27,1997,30,19,30,SAND,Odiorne Beach (BS),LH,Little Harbor
1997014,6,27,1997,30,19,30,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997014,6,27,1997,30,19,30,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997014,6,27,1997,30,19,30,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
1997015,6,27,1997,72,19,29,SAND,Odiorne Beach (BS),LH,Little Harbor
1997015,6,27,1997,72,19,29,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997015,6,27,1997,72,19,29,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997015,6,27,1997,72,19,29,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
1997016,7,9,1997,30,16,28,SAND,Odiorne Beach (BS),LH,Little Harbor
1997016,7,9,1997,30,16,28,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997016,7,9,1997,30,16,28,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
1997016,7,9,1997,30,16,28,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997017,7,9,1997,35,19,28,MUD,Moody Point(BS),GB,Little Bay/Great Bay
1997017,7,9,1997,35,19,28,MUD,General Sullivan Cove (BS),RI,Piscataqua River
1997018,7,9,1997,39,24,18,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
1997018,7,9,1997,39,24,18,SAND,Odiorne Beach (BS),LH,Little Harbor
1997018,7,9,1997,39,24,18,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997018,7,9,1997,39,24,18,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997019,7,10,1997,54,19,29,MUD,General Sullivan Cove (BS),RI,Piscataqua River
1997019,7,10,1997,54,19,29,MUD,Moody Point(BS),GB,Little Bay/Great Bay
1997020,7,10,1997,147,21,29,MUD,Moody Point(BS),GB,Little Bay/Great Bay
1997020,7,10,1997,147,21,29,MUD,General Sullivan Cove (BS),RI,Piscataqua River
1997021,7,10,1997,93,24,28,MUD,General Sullivan Cove (BS),RI,Piscataqua River
1997021,7,10,1997,93,24,28,MUD,Moody Point(BS),GB,Little Bay/Great Bay
1997022,7,10,1997,107,24,29,MUD,General Sullivan Cove (BS),RI,Piscataqua River
1997022,7,10,1997,107,24,29,MUD,Moody Point(BS),GB,Little Bay/Great Bay
1997023,7,11,1997,7,15,29,MUD,Moody Point(BS),GB,Little Bay/Great Bay
1997023,7,11,1997,7,15,29,MUD,General Sullivan Cove (BS),RI,Piscataqua River
1997024,7,11,1997,5,15,30,SAND,Odiorne Beach (BS),LH,Little Harbor
1997024,7,11,1997,5,15,30,SAND,Blackwater River (BS),HA,Hampton/Seabrook Estuary
1997024,7,11,1997,5,15,30,SAND,Fort Stark (Little Harbor)(BS),LH,Little Harbor
1997024,7,11,1997,5,15,30,SAND,Brown's River (BS),HA,Hampton/Seabrook Estuary
