"Year","season","Family","Trawls","Trawls_Efforts","fam_Wt","fam_Num","famRel_Wt","famRel_Num","famERel_Wt","famERel_Num","fam_DNAweight_Wt","fam_DNAweight_Num","fam_DNAweight_Rel_Wt","fam_DNAweight_Rel_Num","fam_DNAweight_ERel_Wt","fam_DNAweight_ERel_Num","famcatchable_Wt","famcatchable_Num","famcatchable_RelWt","famcatchable_RelNum","famcatchable_ERelWt","famcatchable_ERelNum","famcatchable_DNAweight_Wt","famcatchable_DNAweight_Num","famcatchable_DNAweight_RelWt","famcatchable_DNAweight_RelNum","famcatchable_DNAweight_ERelWt","famcatchable_DNAweight_ERelNum"
1963,"FALL","BUTTERFISH",14,24.3833333333333,0.5,2,0.0357142857142857,0.142857142857143,0.0205058099794942,0.0820232399179768,0.5,2,0.0357142857142857,0.142857142857143,0.0205058099794942,0.0820232399179768,0.5,2,0.0357142857142857,0.142857142857143,0.0205058099794942,0.0820232399179768,0.5,2,0.0357142857142857,0.142857142857143,0.0205058099794942,0.0820232399179768
1963,"FALL","HAKE",14,24.3833333333333,464,2906,33.1428571428571,207.571428571429,19.0293916609706,119.17976760082,172.085714285714,564.714285714286,12.2918367346939,40.3367346938775,7.05751391465677,23.1598476711259,464,2906,33.1428571428571,207.571428571429,19.0293916609706,119.17976760082,172.085714285714,564.714285714286,12.2918367346939,40.3367346938776,7.05751391465677,23.1598476711259
1963,"FALL","HERRING",14,24.3833333333333,42.2,206,3.01428571428571,14.7142857142857,1.73069036226931,8.44839371155161,30.04,124.628571428571,2.14571428571429,8.90204081632653,1.23198906356801,5.11121960746021,42.2,206,3.01428571428571,14.7142857142857,1.73069036226931,8.44839371155161,30.04,124.628571428571,2.14571428571429,8.90204081632653,1.23198906356801,5.11121960746021
1963,"FALL","MACKEREL",14,24.3833333333333,0.3,3,0.0214285714285714,0.214285714285714,0.0123034859876965,0.123034859876965,0.3,3,0.0214285714285714,0.214285714285714,0.0123034859876965,0.123034859876965,0.3,3,0.0214285714285714,0.214285714285714,0.0123034859876965,0.123034859876965,0.3,3,0.0214285714285714,0.214285714285714,0.0123034859876965,0.123034859876965
1963,"FALL","POLLOCK",14,24.3833333333333,222.6,47,15.9,3.35714285714286,9.12918660287081,1.92754613807245,222.6,47,15.9,3.35714285714286,9.12918660287081,1.92754613807245,222.6,47,15.9,3.35714285714286,9.12918660287081,1.92754613807245,222.6,47,15.9,3.35714285714286,9.12918660287081,1.92754613807245
1963,"FALL","SAND LANCE",14,24.3833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,"FALL","BUTTERFISH",11,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,"FALL","HAKE",11,19.25,210.2,560,19.1090909090909,50.9090909090909,10.9194805194805,29.0909090909091,69.7314285714286,116.6,6.33922077922078,10.6,3.62241187384044,6.05714285714286,210.2,560,19.1090909090909,50.9090909090909,10.9194805194805,29.0909090909091,69.7314285714286,116.6,6.33922077922078,10.6,3.62241187384044,6.05714285714286
1964,"FALL","HERRING",11,19.25,1.9,9,0.172727272727273,0.818181818181818,0.0987012987012987,0.467532467532468,1.9,8.08571428571429,0.172727272727273,0.735064935064935,0.0987012987012987,0.420037105751391,1.9,9,0.172727272727273,0.818181818181818,0.0987012987012987,0.467532467532468,1.9,8.08571428571429,0.172727272727273,0.735064935064935,0.0987012987012987,0.420037105751391
1964,"FALL","MACKEREL",11,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
