"Year","season","Family","catchableTotal_Wt","catchableTotal_Num","Total_Wt","Total_Num","famCatch_Wt","famCatch_Num","famRel_Wt","famRel_Num","famERel_Wt","famERel_Num","famProp","famcatchable_Wt","famcatchable_Num","famcatchable_RelWt","famcatchable_RelNum","famcatchable_ERelWt","famcatchable_ERelNum","famcatchableProp_Wt","famcatchableProp_Num"
1963,"FALL","HERRING",1175.72043262404,4160.49440979207,3788.5,16929,150.7,726,1.49207920792079,7.18811881188119,0.00401352934909982,0.019335250878875,0.0397782763626765,9.62989164528087,46.4721716231403,0.095345461834464,0.460120511120201,0.000256468830437863,0.00123767368763024,0.00819063050880927,0.0111698675796233
1963,"FALL","MACKEREL",1175.72043262404,4160.49440979207,3788.5,16929,1.8,6,0.0178217821782178,0.0594059405940594,4.79386385426654e-05,0.000159795461808885,0.000475122079978883,0.24,0.8,0.00237623762376238,0.00792079207920792,6.39181847235539e-06,2.1306061574518e-05,0.000204130159977194,0.000192284839541458
1963,"FALL","BUTTERFISH",1175.72043262404,4160.49440979207,3788.5,16929,29.2,325,0.289108910891089,3.21782178217822,0.000777671247469905,0.00865558751464792,0.00770753596410189,20.1228464419476,223.970037453184,0.199236103385619,2.21752512329885,0.00053592325668338,0.00596489926103077,0.0171153327641302,0.0538325533922245
1963,"FALL","SAND LANCE",1175.72043262404,4160.49440979207,3788.5,16929,0,2,0,0.0198019801980198,0,5.32651539362949e-05,0,0,1.14732142857143,0,0.0113596181046676,0,3.05561262536334e-05,0,0.000275765645994166
1963,"FALL","POLLOCK",1175.72043262404,4160.49440979207,3788.5,16929,838.1,203,8.2980198019802,2.00990099009901,0.0223207627570044,0.00540641312453393,0.22122211957239,636.633653846154,154.201923076923,6.30330350342727,1.5267517136329,0.0169551947865706,0.0041067945849825,0.541483873360336,0.0370633650447879
1963,"FALL","HAKE",1175.72043262404,4160.49440979207,3788.5,16929,2768.7,15667,27.4128712871287,155.118811881188,0.0737376158517098,0.417252583359966,0.730816946020853,509.094040690654,3733.90295621026,5.04053505634311,36.9693362001015,0.013558486222719,0.0994434578728629,0.433006033206747,0.897466163497829
1964,"FALL","HERRING",470.634950135729,519.999926029444,1299.9,2528,19.8,117,0.23855421686747,1.40963855421687,0.000866331218551739,0.00511922992780573,0.0152319409185322,0.337254901960784,2.41176470588235,0.00406331207181668,0.0290574060949681,1.4756285362537e-05,0.000105524598813492,0.000716595530917373,0.00463800970953559
1964,"FALL","BUTTERFISH",470.634950135729,519.999926029444,1299.9,2528,1,9,0.0120481927710843,0.108433734939759,4.37541019470575e-05,0.000393786917523518,0.000769289945380414,0.818791946308725,7.36912751677852,0.00986496320853885,0.0887846688768497,3.58255062922216e-05,0.000322429556629994,0.00173976018158573,0.0141714010866249
1964,"FALL","SAND LANCE",470.634950135729,519.999926029444,1299.9,2528,0,2,0,0.0240963855421687,0,8.75082038941151e-05,0,0,0.4,0,0.00481927710843374,0,1.7501640778823e-05,0,0.000769230878654684
1964,"FALL","POLLOCK",470.634950135729,519.999926029444,1299.9,2528,518.4,204,6.24578313253012,2.4578313253012,0.0226821264493546,0.00892583679719974,0.398799907685207,393.784615384615,154.961538461538,4.74439295644115,1.86700648748842,0.0172296922067213,0.00678020295171903,0.836709248369781,0.298003000971127
1964,"FALL","HAKE",470.634950135729,519.999926029444,1299.9,2528,760.7,2196,9.16506024096386,26.4578313253012,0.0332837453511267,0.0960840078757384,0.585198861450881,75.6942879028443,354.857495345245,0.911979372323425,4.27539151018368,0.00331193558971097,0.0155264710280133,0.160834395917716,0.682418357354058
1965,"FALL","HERRING",372.724266794813,904.412262222887,1627.3,4923,67,341,0.827160493827161,4.20987654320988,0.00259916593928814,0.0132285908253322,0.0411724943157377,1.40888888888889,7.11899641577061,0.0173936899862826,0.0878888446391433,5.4655761376739e-05,0.000276170940384855,0.00377997628382079,0.00787140634103452
1965,"FALL","MACKEREL",372.724266794813,904.412262222887,1627.3,4923,9.5,33,0.117283950617284,0.407407407407407,0.000368538454078169,0.00128018620890311,0.00583789098506729,1.01785714285714,3.53571428571429,0.0125661375661376,0.0436507936507936,3.94862629369467e-05,0.000137162808096762,0.00273085826047779,0.00390940551494085
1965,"FALL","BUTTERFISH",372.724266794813,904.412262222887,1627.3,4923,12.8,93,0.158024691358025,1.14814814814815,0.00049655707496848,0.00360779749781786,0.00786578995882751,9.93788819875776,72.2049689440994,0.122689977762442,0.891419369680239,0.000385525679323354,0.00280108501383375,0.0266628419024529,0.0798363445080147
1965,"FALL","SAND LANCE",372.724266794813,904.412262222887,1627.3,4923,40.4,1184,0.498765432098765,14.6172839506173,0.00156725826786927,0.0459315294345844,0.0248263995575493,6.73333333333333,197.333333333333,0.0831275720164609,2.43621399176955,0.000261209711311544,0.00765525490576407,0.0180651863406577,0.218189581870908
1965,"FALL","POLLOCK",372.724266794813,904.412262222887,1627.3,4923,303.5,83,3.74691358024691,1.02469135802469,0.0117738337697605,0.00321986228299874,0.186505254101887,230.543269230769,63.0480769230769,2.84621320037987,0.778371320037987,0.00894358526741419,0.00244585692650866,0.618535710629446,0.0697116564608664
1965,"FALL","HAKE",372.724266794813,904.412262222887,1627.3,4923,1194.1,3189,14.741975308642,39.3703703703704,0.0463233440015517,0.123712540005819,0.733792171080932,123.083030000207,561.171172320893,1.51954358024947,6.92803916445547,0.00477482416837191,0.0217698059284606,0.330225426583144,0.620481605304236
1966,"FALL","HERRING",272.521322842563,512.985390726818,1293.1,NA,84.1,519,1.10657894736842,6.82894736842105,0.00332253476611884,0.0205041087231353,0.0650375067666847,2.95514617823177,19.1798314122263,0.0388835023451549,0.252366202792451,0.000116748821832798,0.000757736702442567,0.0108437246209133,0.0373886503571798
1966,"FALL","MACKEREL",272.521322842563,512.985390726818,1293.1,NA,9.1,35,0.119736842105263,0.460526315789474,0.000359513274336283,0.00138274336283186,0.0070373520996056,1.05813953488372,4.06976744186047,0.0139228886168911,0.0535495716034272,4.18038691088701e-05,0.000160784111957193,0.0038827770386797,0.00793349579818298
1966,"FALL","SAND LANCE",272.521322842563,512.985390726818,1293.1,NA,0,1,0,0.0131578947368421,0,3.95069532237674e-05,0,0,0.428571428571429,0,0.0056390977443609,0,1.69315513816146e-05,0,0.000835445679971922
1966,"FALL","POLLOCK",272.521322842563,512.985390726818,1293.1,NA,189.5,52,2.49342105263158,0.684210526315789,0.00748656763590392,0.0020543615676359,0.14654705745882,143.947115384615,39.5,1.89404099190283,0.519736842105263,0.00568691195419625,0.00156052465233881,0.528204963498487,0.0770002435040788
