"Year","season","Trawls","Trawls_Efforts","Family","Species","trawlCatch_Num","trawlMeasured_Num","propMeasured","propMeasured_catchable","trawlCatch_catchableNum","trawlCatch_catchablePerTrawl","trawlCatch_catchablePerEffort"
"1963","FALL",5,8.63333333333333,"HERRING","ALEWIFE",85,28,0.329411764705882,0.285714285714286,24.2857142857143,4.85714285714286,2.81301709873138
"1963","FALL",5,8.63333333333333,"HERRING","ATLANTIC HERRING",36,17,0.472222222222222,0,0,0,0
"1963","FALL",5,8.63333333333333,"MACKEREL","ATLANTIC MACKEREL",2,2,1,0,0,0,0
"1963","FALL",5,8.63333333333333,"POLLOCK","POLLOCK",17,16,0.941176470588235,0,0,0,0
"1963","FALL",5,8.63333333333333,"HAKE","RED HAKE",137,78,0.569343065693431,0.0384615384615385,5.26923076923077,1.05384615384615,0.61033561033561
"1963","FALL",5,8.63333333333333,"HAKE","SILVER HAKE",982,131,0.133401221995927,0.419847328244275,412.290076335878,82.4580152671756,47.755607297592
"1963","FALL",5,8.63333333333333,"HAKE","WHITE HAKE",86,59,0.686046511627907,0,0,0,0
"1964","FALL",4,7,"HERRING","ALEWIFE",1,1,1,0,0,0,0
"1964","FALL",4,7,"HERRING","ATLANTIC HERRING",4,2,0.5,0,0,0,0
"1964","FALL",4,7,"POLLOCK","POLLOCK",2,2,1,0,0,0,0
"1964","FALL",4,7,"HAKE","RED HAKE",15,14,0.933333333333333,0,0,0,0
"1964","FALL",4,7,"HAKE","SILVER HAKE",246,79,0.321138211382114,0.151898734177215,37.3670886075949,9.34177215189873,5.33815551537071
"1964","FALL",4,7,"HAKE","WHITE HAKE",18,16,0.888888888888889,0,0,0,0
"1965","FALL",5,8.75,"HERRING","ALEWIFE",1,1,1,0,0,0,0
"1965","FALL",5,8.75,"HERRING","ATLANTIC HERRING",10,10,1,0,0,0,0
"1965","FALL",5,8.75,"POLLOCK","POLLOCK",5,5,1,0,0,0,0
"1965","FALL",5,8.75,"HAKE","RED HAKE",2,2,1,0,0,0,0
"1965","FALL",5,8.75,"HAKE","SILVER HAKE",839,71,0.0846245530393325,0.0845070422535211,70.9014084507042,14.1802816901408,8.10301810865191
"1965","FALL",5,8.75,"HAKE","WHITE HAKE",8,8,1,0,0,0,0
"1966","FALL",4,7,"HERRING","ALEWIFE",1,1,1,0,0,0,0
"1966","FALL",4,7,"HERRING","ATLANTIC HERRING",74,14,0.189189189189189,0,0,0,0
"1966","FALL",4,7,"POLLOCK","POLLOCK",9,9,1,0,0,0,0
"1966","FALL",4,7,"HAKE","RED HAKE",18,13,0.722222222222222,0,0,0,0
"1966","FALL",4,7,"HAKE","SILVER HAKE",350,63,0.18,0.0793650793650794,27.7777777777778,6.94444444444444,3.96825396825397
"1966","FALL",4,7,"HAKE","WHITE HAKE",36,33,0.916666666666667,0.0606060606060606,2.18181818181818,0.545454545454545,0.311688311688312
"1967","FALL",5,8.75,"HERRING","ALEWIFE",4,4,1,0.25,1,0.2,0.114285714285714
"1967","FALL",5,8.75,"HERRING","ATLANTIC HERRING",23,8,0.347826086956522,0,0,0,0
"1967","FALL",5,8.75,"HAKE","RED HAKE",2,2,1,0,0,0,0
"1967","FALL",5,8.75,"HAKE","SILVER HAKE",5,4,0.8,0,0,0,0
"1967","FALL",5,8.75,"HAKE","WHITE HAKE",4,4,1,0,0,0,0
"1968","FALL",1,1.75,"POLLOCK","POLLOCK",1,1,1,0,0,0,0
