Marine Recreational Information Program Query Results

Your Query Parameters:

·Query: MRIP CATCH TIME SERIES

·Year: 1981 - 2020

·Wave: BY WAVE

·Geographic Area: NORTH ATLANTIC BY STATE

·Species: SAND LANCE GENUS                                                                                                                                                                                        

·Fishing Mode: ALL MODES BY MODE

·Fishing Area: ALL AREAS COMBINED

·Type of Catch: ALL CATCH TYPES (TYPE A, B1, and B2)

Information:

·NUMBERS OF FISH

PSE (proportional standard error) is automatically included in all outputs. It expresses the standard error of an estimate as a percentage of the estimate and is a

measure of precision.

"Estimate Status","Year","Wave","State","Common Name","Fishing Mode","Observed Harvest (A)","PSE","Reported Harvest (B1)","PSE","Released Alive (B2)","PSE"
"FINAL",1993,"JULY/AUGUST","MASSACHUSETTS","SAND LANCE GENUS","SHORE",0,".",1266354,93.2,0,"."
"FINAL",1993,"JULY/AUGUST","MASSACHUSETTS","SAND LANCE GENUS","PRIVATE/RENTAL BOAT",0,".",115864,98.5,0,"."
"FINAL",1993,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SAND LANCE GENUS","SHORE",0,".",0,".",5408,102.3
"FINAL",1994,"MAY/JUNE","MASSACHUSETTS","SAND LANCE GENUS","PRIVATE/RENTAL BOAT",0,".",81876,100.6,0,"."
"FINAL",1994,"JULY/AUGUST","MASSACHUSETTS","SAND LANCE GENUS","PRIVATE/RENTAL BOAT",0,".",2642,100.5,0,"."
"FINAL",1994,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SAND LANCE GENUS","SHORE",3114221,99.1,2179,101.2,0,"."
"FINAL",1995,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SAND LANCE GENUS","SHORE",0,".",0,".",2716,100.6
"FINAL",1997,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SAND LANCE GENUS","PRIVATE/RENTAL BOAT",31800,100.8,0,".",0,"."
"FINAL",1999,"MAY/JUNE","MASSACHUSETTS","SAND LANCE GENUS","SHORE",0,".",2048,97.5,0,"."
"FINAL",2000,"JULY/AUGUST","MASSACHUSETTS","SAND LANCE GENUS","PRIVATE/RENTAL BOAT",0,".",63104,101.3,0,"."
"FINAL",2001,"JULY/AUGUST","MASSACHUSETTS","SAND LANCE GENUS","PRIVATE/RENTAL BOAT",0,".",134167,99.1,0,"."
"FINAL",2004,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SAND LANCE GENUS","PRIVATE/RENTAL BOAT",0,".",2194,97,0,"."
"FINAL",2005,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SAND LANCE GENUS","CHARTER BOAT",0,".",0,".",1707,89.2
"FINAL",2008,"MARCH/APRIL","MASSACHUSETTS","SAND LANCE GENUS","PARTY BOAT",0,".",0,".",71,102.3
"FINAL",2011,"JULY/AUGUST","MAINE","SAND LANCE GENUS","SHORE",0,".",32751,101.3,0,"."
"FINAL",2012,"JULY/AUGUST","MASSACHUSETTS","SAND LANCE GENUS","PRIVATE/RENTAL BOAT",0,".",25387,100.6,0,"."
"FINAL",2013,"MAY/JUNE","MAINE","SAND LANCE GENUS","SHORE",0,".",0,".",6134,89.4
"FINAL",2013,"JULY/AUGUST","MAINE","SAND LANCE GENUS","SHORE",0,".",240809,29.2,0,"."
"FINAL",2014,"MAY/JUNE","MAINE","SAND LANCE GENUS","SHORE",0,".",2374023,75.6,0,"."
"FINAL",2014,"MAY/JUNE","MASSACHUSETTS","SAND LANCE GENUS","PRIVATE/RENTAL BOAT",0,".",0,".",948,103.2
"FINAL",2014,"JULY/AUGUST","MAINE","SAND LANCE GENUS","SHORE",0,".",691577,103.6,0,"."
"FINAL",2014,"JULY/AUGUST","MASSACHUSETTS","SAND LANCE GENUS","PRIVATE/RENTAL BOAT",0,".",317,100.8,1851,100.7
"FINAL",2015,"JULY/AUGUST","MAINE","SAND LANCE GENUS","SHORE",0,".",279681,85,0,"."
"FINAL",2015,"JULY/AUGUST","MAINE","SAND LANCE GENUS","PRIVATE/RENTAL BOAT",0,".",0,".",151,101.7
"FINAL",2016,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SAND LANCE GENUS","PRIVATE/RENTAL BOAT",0,".",0,".",1998,102.3
"FINAL",2019,"JULY/AUGUST","RHODE ISLAND","SAND LANCE GENUS","SHORE",0,".",0,".",12644,100.5

