"Year","Coast","Subregion","Common Name","Pounds","Live Pounds","Dollars","% Display"
"1993","US Atlantic Coast","North Atlantic","WRECKFISH","1000","1000","270","100%"
"2016","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"2015","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"2012","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"2008","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"2007","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"2005","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"1999","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"1998","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"1994","US Atlantic Coast","North Atlantic","WRECKFISH","*","*","*","0%"
"2018","US Atlantic Coast","North Atlantic","WOLFFISH, SPOTTED","*","*","*","0%"
"2018","US Atlantic Coast","North Atlantic","WOLFFISH, NORTHERN","*","*","*","0%"
"2010","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","5965.2","5965.2","6496.13","100%"
"1968","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","489400","489400","23924","100%"
"1969","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","523000","523000","24621","100%"
"1966","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","497800","497800","25562","100%"
"2006","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","32742.8","32742.8","27516.69","100%"
"1967","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","503900","503900","27615","100%"
"1965","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","604904","604904","31246","100%"
"1970","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","597900","597900","33921","100%"
"1962","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","640900","640900","35422","100%"
"1964","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","826593","826593","37512","100%"
"1963","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","767900","767900","39010","100%"
"1973","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","659700","659700","41168","100%"
"1971","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","610100","610100","41432","100%"
"1972","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","671700","671700","44007","100%"
"2009","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","73987.76","73987.76","51838.85","100%"
"1974","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","875300","875300","62343","100%"
"1975","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","804400","804400","66131","100%"
"1977","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","966900","966900","85919","100%"
"2008","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","109258.78","109258.78","94078.7","100%"
"1976","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1046600","1046600","96306","100%"
"2007","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","141291.24","141291.24","99481.34","100%"
"2004","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","262175","262175","135931.99","100%"
"2003","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","283817","283817","139431.28","100%"
"2005","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","259248","259248","142441.4","100%"
"1978","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1411500","1411500","155612","100%"
"2002","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","340494","340494","173852.83","100%"
"2000","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","441788","441788","221709.25","100%"
"1979","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1528500","1528500","222180","100%"
"2001","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","550133","550133","222317","100%"
"1999","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","567014","567014","241945.74","100%"
"1997","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","680310","680310","264068","100%"
"1980","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1983800","1983800","276381","100%"
"1981","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","1647200","1647200","290010","100%"
"1990","US Atlantic Coast","North Atlantic","WOLFFISH, ATLANTIC","871551","871551","304490","100%"
