common,strat_id,psu_id,id_code,MODE_FX,AREA_X,ST,SUB_REG,WAVE,year,month,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,tot_cat,wgt_ab1,tot_len,Landing,VAR_ID,ARX_METHOD,ALT_FLAG,fl_reg,wp_catch_precal,wp_int,wp_catch
,19816498211we,100671981110811704,1006719811108010,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498211we,,0,8,2528.595546,10306.032018,10306.032018
,19816498211we,100671981110811704,1006719811108018,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498211we,,0,8,2528.595546,10306.032018,10306.032018
,19816498211we,100671981110811704,1006719811108014,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498211we,,0,8,2528.595546,10306.032018,10306.032018
,19816498211we,100671981110811704,1006719811108019,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498211we,,0,8,2528.595546,10306.032018,10306.032018
,19816498111we,100671981112811661,1006719811128002,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498111we,,0,8,0,0,0
,19816498211we,100671981110811704,1006719811108011,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498211we,,0,8,2528.595546,10306.032018,10306.032018
,19816498111we,100671981112211706,1006719811122002,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498111we,,0,8,0,0,0
,19816498211we,100671981110811704,1006719811108016,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498211we,,0,8,2528.595546,10306.032018,10306.032018
,19816498111we,100671981110811657,1006719811108009,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498111we,,0,8,0,0,0
,19816498111we,100671981110811657,1006719811108007,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498111we,,0,8,0,0,0
,19816498111we,100671981110811644,1006719811108004,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498111we,,0,8,0,0,0
,19816498111we,1006819811129123,1006819811129003,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498111we,,0,8,0,0,0
,19816498111we,100671981110811657,1006719811108008,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498111we,,0,8,0,0,0
,19816498111we,1006819811129123,1006819811129002,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498111we,,0,8,0,0,0
,19816498111we,1006819811108123,1006819811108003,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498111we,,0,8,0,0,0
,19816498111we,100671981112811661,1006719811128001,3,5,9,4,6,1981,11,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816498111we,,0,8,0,0,0
AMERICAN EEL,19816498211we,100671981110811704,1006719811108017,3,5,9,4,6,1981,11,we,8741010101,0,1,0,0,0,1,0,0,0,0,1,0,0,0,19816498211we,,0,8,2528.595546,10306.032018,10306.032018
ATLANTIC TOMCOD,19816498111we,100671981112211706,1006719811122003,3,5,9,4,6,1981,11,we,8791030602,1.5570175439,0,0,1,0,0,399.375,0.2958333333,0,0,1.5570175439,0.2958333333,399.375,1.5570175439,19816498111we,,0,8,0,0,0
WINTER FLOUNDER,19816498111we,1006819811108123,1006819811108005,3,5,9,4,6,1981,11,we,8857042001,1.0526315789,0,0,1,0,0,200,0.1,0,0,1.0526315789,0.1,200,1.0526315789,19816498111we,,0,8,0,0,0
WINTER FLOUNDER,19816498111we,10067198111281161,1006719811128004,3,5,9,4,6,1981,11,we,8857042001,0,0,1,0,1,0,0,0,200,0.1,1,0.1,200,1,19816498111we,,0,8,0,0,0
