common,strat_id,psu_id,AREA_X,ID_CODE,MODE_FX,ST,SUB_REG,WAVE,YEAR,month,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,tot_cat,wgt_ab1,tot_len,Landing,VAR_ID,ARX_METHOD,ALT_FLAG,fl_reg,wp_catch_precal,wp_int,wp_catch
,19862498304we,106391986041211678,5,1063919860412019,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,106391986041211678,5,1063919860412007,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,106391986041211679,5,1063919860412017,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,106391986041211679,5,1063919860412003,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,106391986041211679,5,1063919860412001,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,1071119860419117,5,1071119860419003,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,6183.3860117,6183.3860117
,19862498304we,106391986041211679,5,1063919860412005,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,1071119860419117,5,1071119860419002,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,6183.3860117,6183.3860117
,19862498304we,106391986041211679,5,1063919860412013,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,106391986041211678,5,1063919860412015,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,106391986041211678,5,1063919860412016,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498303we,10716198603169226,5,1071619860316001,3,9,4,2,1986,03,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498303we,,0,8,833.70351403,9910.7372547,9910.7372547
,19862498304we,10716198604209287,5,1071619860420006,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,10716198604209287,5,1071619860420004,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,106391986041211678,5,1063919860412014,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,106391986041211679,5,1063919860412002,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,10716198604209287,5,1071619860420002,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,1071119860419117,5,1071119860419005,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,6183.3860117,6183.3860117
,19862498304we,1071119860419117,5,1071119860419004,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,6183.3860117,6183.3860117
,19862498304we,10716198604209287,5,1071619860420001,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,10716198604209287,5,1071619860420005,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,106391986041211679,5,1063919860412018,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,106391986041211679,5,1063919860412004,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,106391986041211679,5,1063919860412006,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
,19862498304we,106391986041211678,5,1063919860412020,3,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
SKATE GENUS,19862498304we,10716198604209287,5,1071619860420003,3,9,4,2,1986,04,we,8713040100,0,3,1,0,1,3,0,0,274,0.6,4,0.6,274,1,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
WINTER FLOUNDER,19862498304we,106391986041211678,5,1063919860412008,3,9,4,2,1986,04,we,8857042001,4,0,0,4,0,0,1373,1.6,0,0,4,1.6,1373,4,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
WINTER FLOUNDER,19862498304we,106391986041211678,5,1063919860412021,3,9,4,2,1986,04,we,8857042001,6,0,0,6,0,0,2008,2.5,0,0,6,2.5,2008,6,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
WINTER FLOUNDER,19862498304we,106391986041211678,5,1063919860412009,3,9,4,2,1986,04,we,8857042001,2,0,0,2,0,0,723,1,0,0,2,1,723,2,19862498304we,,0,8,833.70351403,3727.1370697,3727.1370697
WINTER FLOUNDER,19862498303we,10716198603299260,5,1071619860329001,3,9,4,2,1986,03,we,8857042001,2,0,0,2,0,0,527,0.6,0,0,2,0.6,527,2,19862498303we,,0,8,833.70351403,9910.7372547,9910.7372547
WINTER FLOUNDER,19862498304we,104881986041311661,5,1048819860413001,3,9,4,2,1986,04,we,8857042001,1,0,0,1,0,0,330,0.3,0,0,1,0.3,330,1,19862498304we,,0,8,833.70351403,9910.7372547,9910.7372547
WINTER FLOUNDER,19862498304we,1071119860419117,5,1071119860419001,3,9,4,2,1986,04,we,8857042001,0,2,0,0,0,2,0,0,0,0,2,0,0,0,19862498304we,,0,8,833.70351403,6183.3860117,6183.3860117
,19862498603we,106391986032911663,2,1063919860329002,6,9,4,2,1986,03,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498603we,,0,8,117.36709613,334.30289162,334.30289162
,19862498604we,106391986042011663,2,1063919860420011,6,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498604we,,0,8,117.36709613,14.906387218,14.906387218
,19862498603we,106391986032911663,2,1063919860329017,6,9,4,2,1986,03,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498603we,,0,8,117.36709613,123.61357942,123.61357942
,19862498603we,106391986032911663,2,1063919860329016,6,9,4,2,1986,03,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498603we,,0,8,117.36709613,123.61357942,123.61357942
,19862498603we,106391986032911663,2,1063919860329020,6,9,4,2,1986,03,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498603we,,0,8,117.36709613,334.30289162,334.30289162
,19862498603we,106391986032911663,2,1063919860329021,6,9,4,2,1986,03,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498603we,,0,8,117.36709613,123.61357942,123.61357942
,19862498604we,106391986042011663,2,1063919860420019,6,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498604we,,0,8,117.36709613,14.906387218,14.906387218
,19862498603we,106391986032911663,2,1063919860329015,6,9,4,2,1986,03,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498603we,,0,8,117.36709613,334.30289162,334.30289162
,19862498603we,106391986032911663,2,1063919860329005,6,9,4,2,1986,03,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498603we,,0,8,117.36709613,123.61357942,123.61357942
,19862498604we,106391986042011663,2,1063919860420001,6,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498604we,,0,8,117.36709613,14.906387218,14.906387218
,19862498604we,106391986042011663,2,1063919860420005,6,9,4,2,1986,04,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19862498604we,,0,8,117.36709613,14.906387218,14.906387218
