prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,TOURN,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,BLUEFISH,19893498306wd,11142198906019297,0,C,5,,2,1,9,9,Y,1,30,,2.5,1114219890601002,297,2,3,0,0,0,,,,4,9,9,4,1,3,1989,1114219890601,06,wd,,,1114219890601002,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1315,06401,8,25,4186.490855,19893498306wd,,0,1114219890601002
,BLUEBACK HERRING,19893498306wd,11141198906011130,0.5,C,5,,3,0,1,1,Y,,,,2,1114119890601007,130,1,3,0,0,1,,,,4,9,9,4,1,3,1989,1114119890601,06,wd,,,1114119890601005,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8747010102,,1,88,8,1235,06497,8,65,11132.193452,19893498306wd,,0,1114119890601005
,BLUEFISH,19893498306wd,1114219890623189,1,C,5,,3,0,1,1,Y,0,10,,3,1114219890623003,89,2,3,0,0,1,,,,4,9,9,4,1,3,1989,1114219890623,06,wd,,,1114219890623001,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1830,06430,8,58,4186.490855,19893498306wd,,0,1114219890623001
ATLANTIC MENHADEN,BLUEFISH,19893498306we,11141198906179263,1,C,5,,1,1,9,9,Y,10,20,,2.5,1114119890617015,263,1,3,0,1,0,,,,4,9,9,4,1,3,1989,1114119890617,06,we,,,1114119890617015,2,4,0,8,9,,,12JUN91:16:07,8,1,1,,,,8835250101,8747010401,1,88,8,1730,06405,8,13,2102.4228279,19893498306we,,0,1114119890617015
,TAUTOG,19893498306we,111431989061011646,0,C,5,,2,1,11,3,Y,4,11,,4,1114319890610001,646,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114319890610,06,we,,,1114319890610001,,,,8,1,,,12JUN91:16:07,8,8,1,,,,8839010101,,1,88,8,1335,06033,8,24,2102.4228279,19893498306we,,0,1114319890610001
,WINTER FLOUNDER,19893498306wd,111411989061211646,3,C,5,,2,1,11,11,Y,3,5,,2.5,1114119890612003,646,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890612,06,wd,,,1114119890612003,,,,8,1,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1500,06320,8,11,4186.490855,19893498306wd,,0,1114119890612003
,WINTER FLOUNDER,19893498306we,111411989062511661,0,C,5,,2,1,11,11,Y,,,,2.5,1114119890625022,661,1,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890625,06,we,,,1114119890625022,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1615,06340,8,99,5590.5001228,19893498306we,,0,1114119890625022
,WINTER FLOUNDER,19893498305wd,11141198905257400,1,C,5,,1,1,7,15,Y,0,4,,3,1114119890525007,400,2,3,0,1,0,,,,4,9,9,4,1,3,1989,1114119890525,05,wd,,,1114119890525007,2,1,0,8,9,,,12JUN91:16:07,8,1,1,,,,8857042001,,1,88,8,1430,06238,8,61,11132.193452,19893498305wd,,0,1114119890525007
,TAUTOG,19893498306we,111411989060311828,1,C,5,,2,1,11,11,Y,3,20,,2,1114119890603024,828,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890603,06,we,,,1114119890603024,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8839010101,,1,88,8,1630,06385,8,14,2102.4228279,19893498306we,,0,1114119890603024
,BLUEFISH,19893498306wd,1114219890623189,1,C,5,,3,0,1,1,Y,0,10,,3,1114219890623002,89,2,3,0,0,1,,,,4,9,9,4,1,3,1989,1114219890623,06,wd,,,1114219890623001,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1830,06430,8,70,4186.490855,19893498306wd,,0,1114219890623001
