year	prey	tot_n	catchable_n	tot_rel_abundance	catchable_rel_abundance	tot_proportion	catchable_proportion	adjusted_rel_abundance	n	meansize	mediansize	Effort(nest mins)	proportion	abundance	lagabundance	lag2abundance	lag3abundance	lag4abundance	lagprop	lag2prop	lag3prop	lag4prop
1999	HERRING	477	4	33.07895	0.4210526	0.15527344	0.004735379	32.65789	175	69.24571	63.875	53968	0.11832319	0.003242662	NA	NA	NA	NA	NA	NA	NA	NA
2000	HERRING	124	57.94444	16.31579	7.624269	0.07519709	0.14192802	8.69152	63	76.09073	73	47712	0.06140351	0.001320423	0.003242662	NA	NA	NA	0.11832319		NA	NA
2001	HERRING	583	151.88571	43.9494	9.9601108	0.16652385	0.233351801	33.98929	394	45.06916	45.625	36115	0.46627219	0.010909594	0.001320423	0.003242662	NA	NA	0.06140351	0.11832319	NA	NA
2002	HERRING	12405	356.40999	1075.42654	29.8756932	0.75654083	0.21924784	1045.55085	21	45.19048	45.625	50171	0.02932961	0.000418569	0.010909594	0.001320423	0.003242662	NA	0.46627219	0.06140351	0.11832319	NA
2003	HERRING	3184	1048.94438	219.52743	69.0008736	0.76926794	0.727414097	150.52656	NA	NA	NA	NA	NA	NA	0.000418569	0.010909594	0.001320423	0.003242662	0.02932961	0.46627219	0.06140351	0.11832319
2004	HERRING	646	118.12338	57.45045	10.7807866	0.38112094	0.3193998	46.66967	NA	NA	NA	NA	NA	NA	NA	0.000418569	0.010909594	0.001320423	NA	0.02932961	0.46627219	0.06140351
2005	HERRING	5942	1932.73851	451.64377	143.0306897	0.81230349	0.813683888	308.61308	23	53.95652	54.75	29913	0.04693878	0.000768897	NA	NA	0.000418569	0.010909594	NA	NA	0.02932961	0.46627219
2006	HERRING	6261	2017.71546	331.98265	107.713539	0.45274423	0.230759726	224.26911	10	68.4375	73	11635	0.02688172	0.000859476	0.000768897	NA	NA	0.000418569	0.04693878	NA	NA	0.02932961
2007	HERRING	836	121.88486	75.58092	10.0233866	0.2832938	0.102665487	65.55753	128	56.95996	54.75	27006	0.20382166	0.004739688	0.000859476	0.000768897	NA	NA	0.02688172	0.04693878	NA	NA
2008	HERRING	5713	257.51109	383.13724	18.3121809	0.54790448	0.11662592	364.82506	117	44.14316	45.625	20240	0.27464789	0.005780632	0.004739688	0.000859476	0.000768897	NA	0.20382166	0.02688172	0.04693878	NA
2009	HERRING	8264	1227.9697	1556.36138	206.5143002	0.3904006	0.226036962	1349.84708	57	53.94956	54.75	4267	0.42222222	0.013358331	0.005780632	0.004739688	0.000859476	0.000768897	0.27464789	0.20382166	0.02688172	0.04693878
2010	HERRING	738	295.38468	141.77295	56.2754877	0.08389224	0.094492571	85.49747	99	48.27419	45.625	21271	0.43612335	0.004654224	0.013358331	0.005780632	0.004739688	0.000859476	0.42222222	0.27464789	0.20382166	0.02688172
2011	HERRING	13962	1275.26755	1492.6494	137.3654554	0.58121722	0.242869233	1355.28395	69	53.95652	54.75	23896	0.15898618	0.002887513	0.004654224	0.013358331	0.005780632	0.004739688	0.43612335	0.42222222	0.27464789	0.20382166
2012	HERRING	45103	13523.53023	2650.75088	775.4223638	0.58865831	0.597746831	1875.32852	29	50.65948	45.625	2814	0.6744186	0.010305615	0.002887513	0.004654224	0.013358331	0.005780632	0.15898618	0.43612335	0.42222222	0.27464789
2013	HERRING	3052	353.20729	349.01799	37.4373927	0.22907754	0.073905122	311.58059	81	54.3898	54.75	21690	0.27181208	0.00373444	0.010305615	0.002887513	0.004654224	0.013358331	0.6744186	0.15898618	0.43612335	0.42222222
2014	HERRING	6757	389.26576	410.79662	23.6513719	0.15239405	0.027149945	387.14525	163	70.14494	73	37255	0.278157	0.004375252	0.00373444	0.010305615	0.002887513	0.004654224	0.27181208	0.6744186	0.15898618	0.43612335
2015	HERRING	2666	842.36334	271.71194	82.3906382	0.15215158	0.149430855	189.3213	91	56.05357	54.75	38383	0.18383838	0.002370841	0.004375252	0.00373444	0.010305615	0.002887513	0.278157	0.27181208	0.6744186	0.15898618
2016	HERRING	34784	384.46975	2857.99599	30.0290365	0.70198381	0.101979767	2827.96695	NA	NA	NA	NA	NA	NA	0.002370841	0.004375252	0.00373444	0.010305615	0.18383838	0.278157	0.27181208	0.6744186
2017	HERRING	5275	207.10816	748.15504	17.4637848	0.35918562	0.075333058	730.69126	13	76.04167	73	11936	0.07065217	0.001089142	NA	0.002370841	0.004375252	0.00373444	NA	0.18383838	0.278157	0.27181208
2018	HERRING	2213	465.95359	238.33011	48.4182816	0.09598369	0.070517005	189.91183	40	94.05769	91.25	16031.98	0.14388489	0.002495013	0.001089142	NA	0.002370841	0.004375252	0.07065217	NA	0.18383838	0.278157
2019	HERRING	8505	561.44759	1036.64648	68.8406197	0.40285146	0.118892989	967.80586	176	78.58561	73	57362.93	0.16448598	0.003068183	0.002495013	0.001089142	NA	0.002370841	0.14388489	0.07065217	NA	0.18383838
2020	HERRING	NA	NA	NA	NA	NA	NA	NA	131	114.45155	127.75	36212	0.15339578	0.003617585	0.003068183	0.002495013	0.001089142	NA	0.16448598	0.14388489	0.07065217	NA
																			0.15339578	0.16448598	0.14388489	0.07065217
