Year,Family,t_N,t_prop,t_effort,t_abundance,f_N_adjfall,f_prop_adjfall,f_abundance_adjfall,f_N_adjspring,f_prop_adjspring,f_abundance_adjspring,f_N_fall,f_prop_fall,f_abundance_fall,f_N_spring,f_prop_spring,f_abundance_spring
1999,BUTTERFISH,17,1.97E-02,899,1.89E-02,1926,1.53E-02,1.61E+01,2,1.75E-04,1.35E-02,1926,0.015281276,1.66E+01,2,0.000174505,2.17E-02
1999,HAKE,633,7.32E-01,899,7.04E-01,21673,6.63E-01,8.17E+01,6850,5.84E-01,2.21E+01,21689,0.664147775,1.87E+02,6856,0.584416718,7.45E+01
1999,HERRING,175,2.02E-01,899,1.95E-01,3478,1.55E-01,1.37E+00,3325,1.91E-01,3.47E+00,3478,0.154693535,3.00E+01,3325,0.190472036,3.61E+01
1999,MACKEREL,2,2.31E-03,899,2.22E-03,769,4.31E-02,4.91E-01,1072,7.52E-02,8.63E-01,769,0.0429555,6.63E+00,1072,0.075211587,1.17E+01
1999,POLLOCK,13,1.50E-02,899,1.45E-02,425,1.23E-01,2.06E-01,605,1.06E-01,3.70E-01,425,0.122888329,3.66E+00,605,0.105488177,6.58E+00
1999,SAND LANCE,25,2.89E-02,899,2.78E-02,30,3.37E-05,2.07E-01,3987,4.43E-02,1.73E+01,30,0.0000336,2.59E-01,3987,0.044236978,4.33E+01
2000,BUTTERFISH,15,2.87E-02,773.42,1.94E-02,2034,2.65E-02,1.98E+01,11,1.30E-04,7.11E-02,2034,0.026495624,2.14E+01,11,0.000129528,1.12E-01
2000,HAKE,417,7.99E-01,773.42,5.39E-01,16597,6.84E-01,5.08E+01,17260,5.14E-01,3.17E+01,16619,0.683730968,1.75E+02,17263,0.513665213,1.76E+02
2000,HERRING,63,1.21E-01,773.42,8.15E-02,5414,2.43E-01,1.64E+00,7321,2.04E-01,1.04E+01,5414,0.242357032,5.70E+01,7321,0.203704503,7.47E+01
2000,MACKEREL,6,1.15E-02,773.42,7.76E-03,219,6.54E-03,2.20E-01,8209,2.33E-01,7.98E+00,221,0.006533989,2.33E+00,8209,0.232934675,8.38E+01
2000,POLLOCK,3,5.75E-03,773.42,3.88E-03,278,3.93E-02,6.65E-02,251,4.81E-02,5.82E-02,278,0.039263877,2.93E+00,251,0.048098096,2.56E+00
