Year Tern,Family,t_N,t_prop,t_effort,t_abundance,f_N_adjfall,f_prop_adjfall,f_abundance_adjfall,f_N_adjspring,f_prop_adjspring,f_abundance_adjspring,f_abundance_adjfall_100km_DNAweight,f_abundance_adjspring_100km_DNAweight,f_abundance_fall_100km_DNAweight,f_abundance_spring_100km_DNAweight,f_abundance_adjfall_GOM_DNAweight,f_abundance_adjspring_GOM_DNAweight,f_abundance_fall_GOM_DNAweight,f_abundance_spring_GOM_DNAweight,f_N_fall_lag1,f_prop_fall_lag1,f_abundance_fall_lag1,f_N_spring_lag1,f_prop_spring_lag1,f_abundance_spring_lag1,f_N_fall_lag2,f_prop_fall_lag2,f_abundance_fall_lag2,f_N_spring_lag2,f_prop_spring_lag2,f_abundance_spring_lag2,f_N_fall_lag3,f_prop_fall_lag3,f_abundance_fall_lag3,f_N_spring_lag3,f_prop_spring_lag3,f_abundance_spring_lag3,f_abundance_fall_100km_DNAweight_lag1,f_abundance_fall_100km_DNAweight_lag2,f_abundance_fall_100km_DNAweight_lag3,f_abundance_spring_100km_DNAweight_lag1,f_abundance_spring_100km_DNAweight_lag2,f_abundance_spring_100km_DNAweight_lag3,f_abundance_fall_GOM_DNAweight_lag1,f_abundance_fall_GOM_DNAweight_lag2,f_abundance_fall_GOM_DNAweight_lag3,f_abundance_spring_GOM_DNAweight_lag1,f_abundance_spring_GOM_DNAweight_lag2,f_abundance_spring_GOM_DNAweight_lag3
1999,HAKE,633,7.32E-01,899,7.04E-01,21673,6.63E-01,8.17E+01,6850,0.58400,2.21E+01,32.65535714,16.52330827,32.65535714,16.52330827,35.10960591,13.7447205,35.10960591,13.7447205,16619,0.683730968,1.75E+02,17263,0.513665213,1.76E+02,11954,0.54544139,1.21E+02,15490,0.445750797,1.60E+02,11879,0.330521638,1.26E+02,7467,0.647594307,6.98E+01,43.31972789,16.57983193,32.48721805,25.80793651,30.74285714,16.32919255,32.80962406,22.51890332,24.81075269,31.9212828,28.91752577,13.74018692
2000,HAKE,417,7.99E-01,773.42,5.39E-01,16597,6.84E-01,5.08E+01,17260,0.51400,3.17E+01,43.31972789,25.80793651,43.31972789,25.80793651,32.80962406,31.9212828,32.80962406,31.9212828,11954,0.54544139,1.21E+02,15490,0.445750797,1.60E+02,11879,0.330521638,1.26E+02,7467,0.647594307,6.98E+01,12650,0.372733768,1.35E+02,10033,0.623558695,1.10E+02,16.57983193,32.48721805,19.10075188,30.74285714,16.32919255,12.78646617,22.51890332,24.81075269,25.47112462,28.91752577,13.74018692,20.89230769
2001,HAKE,186,2.87E-01,651.17,2.86E-01,11937,5.45E-01,3.56E+01,15473,0.44600,3.07E+01,16.57983193,30.74285714,16.57983193,30.74285714,22.51890332,28.91752577,22.51890332,28.91752577,11879,0.330521638,1.26E+02,7467,0.647594307,6.98E+01,12650,0.372733768,1.35E+02,10033,0.623558695,1.10E+02,5072,0.377402305,5.76E+01,5624,0.660915801,5.74E+01,32.48721805,19.10075188,14.56964286,16.32919255,12.78646617,19.20857143,24.81075269,25.47112462,11.19512987,13.74018692,20.89230769,11.5180758
2002,HAKE,393,7.92E-01,954.38,4.12E-01,11864,3.30E-01,4.46E+01,7454,0.64800,1.19E+01,32.48721805,16.32919255,32.48721805,16.32919255,24.81075269,13.74018692,24.81075269,13.74018692,12650,0.372733768,1.35E+02,10033,0.623558695,1.10E+02,5072,0.377402305,5.76E+01,5624,0.660915801,5.74E+01,3353,0.169704483,3.73E+01,2008,0.465649237,2.11E+01,19.10075188,14.56964286,6.463865546,12.78646617,19.20857143,4.994557823,25.47112462,11.19512987,8.271111111,20.89230769,11.5180758,5.109473684
2003,HAKE,0,0,954.38,0,12646,3.73E-01,5.54E+01,10032,0.62400,2.94E+01,19.10075188,12.78646617,19.10075188,12.78646617,25.47112462,20.89230769,25.47112462,20.89230769,5072,0.377402305,5.76E+01,5624,0.660915801,5.74E+01,3353,0.169704483,3.73E+01,2008,0.465649237,2.11E+01,10781,0.272550123,1.04E+02,2132,0.217875677,2.01E+01,14.56964286,6.463865546,7.535960591,19.20857143,4.994557823,5.355279503,11.19512987,8.271111111,19.1978022,11.5180758,5.109473684,4.414285714
2004,HAKE,30,3.49E-01,115,2.61E-01,5062,3.77E-01,2.10E+01,5617,0.66100,1.38E+01,14.56964286,19.20857143,14.56964286,19.20857143,11.19512987,11.5180758,11.19512987,11.5180758,3353,0.169704483,3.73E+01,2008,0.465649237,2.11E+01,10781,0.272550123,1.04E+02,2132,0.217875677,2.01E+01,9718,0.49161261,1.00E+02,7278,0.316795047,7.66E+01,6.463865546,7.535960591,16.8122449,4.994557823,5.355279503,16.57285714,8.271111111,19.1978022,20.17172312,5.109473684,4.414285714,14.08784195
2005,HAKE,275,7.99E-01,507.88,5.41E-01,3352,1.70E-01,1.17E+01,2007,0.46600,3.50E+00,6.463865546,4.994557823,6.463865546,4.994557823,8.271111111,5.109473684,8.271111111,5.109473684,10781,0.272550123,1.04E+02,2132,0.217875677,2.01E+01,9718,0.49161261,1.00E+02,7278,0.316795047,7.66E+01,9340,0.47914637,9.25E+01,5811,0.470939435,6.05E+01,7.535960591,16.8122449,28.37142857,5.355279503,16.57285714,20.87142857,19.1978022,20.17172312,20.1125884,4.414285714,14.08784195,13.33392857
2006,HAKE,147,7.78E-01,236.33,6.22E-01,10777,2.72E-01,3.77E+01,2128,0.21800,5.54E+00,7.535960591,5.355279503,7.535960591,5.355279503,19.1978022,4.414285714,19.1978022,4.414285714,9718,0.49161261,1.00E+02,7278,0.316795047,7.66E+01,9340,0.47914637,9.25E+01,5811,0.470939435,6.05E+01,57556,0.601077493,6.26E+02,39960,0.536620556,3.39E+02,16.8122449,28.37142857,209.7085714,16.57285714,20.87142857,84.99503106,20.17172312,20.1125884,116.1093168,14.08784195,13.33392857,63.39757869
2007,HAKE,228,5.14E-01,450.1,5.07E-01,9695,4.91E-01,3.25E+01,7275,0.31700,1.89E+01,16.8122449,16.57285714,16.8122449,16.57285714,20.17172312,14.08784195,20.17172312,14.08784195,9340,0.47914637,9.25E+01,5811,0.470939435,6.05E+01,57556,0.601077493,6.26E+02,39960,0.536620556,3.39E+02,78652,0.806759015,9.71E+02,142981,0.777944496,1.25E+03,28.37142857,209.7085714,141.0142857,20.87142857,84.99503106,139.9047619,20.1125884,116.1093168,174.9287478,13.33392857,63.39757869,220.1145363
2008,HAKE,137,4.71E-01,337.33,4.06E-01,9538,4.87E-01,3.01E+01,5806,0.47100,1.31E+01,28.37142857,20.87142857,28.37142857,20.87142857,20.1125884,13.33392857,20.1125884,13.33392857,57556,0.601077493,6.26E+02,39960,0.536620556,3.39E+02,78652,0.806759015,9.71E+02,142981,0.777944496,1.25E+03,54967,0.519479954,6.18E+02,47935,0.626846256,4.75E+02,209.7085714,141.0142857,107.0316327,84.99503106,139.9047619,104.0753247,116.1093168,174.9287478,110.8012841,63.39757869,220.1145363,84.96011315
