Date,Time Stamp,Month,Year,Nest #,Time Arrived,Original Time Arrived,Time Departed,Handling time (s),Event,Species,Species 2,Species lumped,Received By,Provided By,Length (bill lengths),Length (cm),Area,Observer,observations,notes,day of year,week of the year
7/17/1999,7/17/1999 9:49,Jul,1999,10,9:49,9:49,9:49,,,Butterfish,Butterfish,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,198,29
7/17/1999,7/17/1999 9:52,Jul,1999,10,9:52,9:52,9:52,,,Butterfish,Butterfish,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,198,29
7/21/1999,7/21/1999 15:17,Jul,1999,1,15:17,15:17,15:17,,,Butterfish,Butterfish,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,202,30
7/24/1999,7/24/1999 11:04,Jul,1999,10,11:04,11:04,11:04,,,Butterfish,Butterfish,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,205,30
6/26/1999,6/26/1999 9:20,Jun,1999,5,9:20,9:20,9:20,,,Butterfish,Butterfish,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,177,26
6/30/1999,6/30/1999 10:26,Jun,1999,6,10:26,10:26,10:27,,,Butterfish,Butterfish,fish,Unknown Adult,Unknown Adult,1.25,4.76,,DT,blind,,181,27
7/8/1999,7/8/1999 16:04,Jul,1999,10,16:04,16:04,16:04,,,Butterfish,Butterfish,fish,2nd chick hatched,Unknown Adult,1.25,4.76,,DH,blind,,189,28
7/3/1999,7/3/1999 11:41,Jul,1999,23,11:41,11:41,11:41,,,Butterfish,Butterfish,fish,1st chick hatched,Unknown Adult,1.50,5.72,,DH,blind,,184,27
7/7/1999,7/7/1999 10:10,Jul,1999,10,10:10,10:10,10:10,,,Butterfish,Butterfish,fish,Mate,Unknown Adult,1.50,5.72,,DH,blind,,188,28
7/22/1999,7/22/1999 16:37,Jul,1999,63,16:37,16:37,16:37,,,Butterfish,Butterfish,fish,Stolen,Unknown Adult,1.50,5.72,,DT,blind,,203,30
7/23/1999,7/23/1999 16:30,Jul,1999,64,16:30,16:30,16:30,,,Butterfish,Butterfish,fish,1st chick hatched,Unknown Adult,1.50,5.72,,DT,blind,,204,30
7/26/1999,7/26/1999 9:25,Jul,1999,62,9:25,9:25,9:25,,,Butterfish,Butterfish,fish,Unknown Adult,Unknown Adult,1.50,5.72,,DT,blind,,207,31
7/3/1999,7/3/1999 15:04,Jul,1999,7,15:04,15:04,15:05,,,Butterfish,Butterfish,fish,Self,Unknown Adult,1.75,6.67,,DT,blind,,184,27
7/27/1999,7/27/1999 12:46,Jul,1999,9,12:46,12:46,12:46,,,Butterfish,Butterfish,fish,Unknown Adult,Unknown Adult,1.75,6.67,,DT,blind,,208,31
7/24/1999,7/24/1999 9:59,Jul,1999,29,9:59,9:59,9:59,,,Butterfish,Butterfish,fish,Unknown Adult,Unknown Adult,2.00,7.62,,DT,blind,,205,30
7/23/1999,7/23/1999 14:35,Jul,1999,10,14:35,14:35,14:35,,,Butterfish,Butterfish,fish,Too big,Unknown Adult,2.50,9.53,,DH,blind,,204,30
7/14/1999,7/14/1999 17:01,Jul,1999,5,17:01,17:01,17:01,,,Butterfish,Butterfish,fish,Too big,Unknown Adult,3.75,14.29,,DT,blind,,195,29
7/28/1999,7/28/1999 9:37,Jul,1999,29,9:37,9:37,9:37,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.50,1.91,,DH,blind,,209,31
7/28/1999,7/28/1999 9:40,Jul,1999,62,9:40,9:40,9:40,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.50,1.91,,DH,blind,,209,31
6/26/1999,6/26/1999 8:26,Jun,1999,2,8:26,8:26,8:30,,,Hake,Hake,fish,1st chick hatched,Known Male,0.75,2.86,,DT,blind,,177,26
6/26/1999,6/26/1999 9:12,Jun,1999,2,9:12,9:12,9:12,,,Hake,Hake,fish,1st chick hatched,Known Male,0.75,2.86,,DT,blind,,177,26
6/26/1999,6/26/1999 10:06,Jun,1999,5,10:06,10:06,10:06,,,Hake,Hake,fish,Unknown Adult,Parent,0.75,2.86,,DT,blind,,177,26
6/26/1999,6/26/1999 10:09,Jun,1999,2,10:09,10:09,>5 Min,,,Hake,Hake,fish,Mate,Known Male,0.75,2.86,,DT,blind,,177,26
6/26/1999,6/26/1999 10:15,Jun,1999,6,10:15,10:15,10:20,,,Hake,Hake,fish,Unknown Adult,Parent,0.75,2.86,,DT,blind,,177,26
6/26/1999,6/26/1999 10:15,Jun,1999,5,10:15,10:15,10:19,,,Hake,Hake,fish,Unknown Adult,Parent,0.75,2.86,,DT,blind,,177,26
6/26/1999,6/26/1999 14:03,Jun,1999,5,14:03,14:03,14:03,,,Hake,Hake,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,177,26
6/26/1999,6/26/1999 14:09,Jun,1999,5,14:09,14:09,Mate Switch,,,Hake,Hake,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,177,26
6/26/1999,6/26/1999 14:18,Jun,1999,6,14:18,14:18,14:18,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DH,blind,,177,26
