Year Tern,Year Fisheries,Family,t_N,t_prop,t_effort,t_abundance,f_N_adjfall,f_prop_adjfall,f_abundance_adjfall,f_N_adjspring,f_prop_adjspring,f_abundance_adjspring,f_N_fall,f_prop_fall,f_abundance_fall,f_N_spring,f_prop_spring,f_abundance_spring
1999,2001,HAKE,633,7.32E-01,899,7.04E-01,21673,6.63E-01,8.17E+01,6850,5.84E-01,2.21E+01,NA,NA,NA,NA,NA,NA
2000,2002,HAKE,417,7.99E-01,773.42,5.39E-01,16597,6.84E-01,5.08E+01,17260,5.14E-01,3.17E+01,NA,NA,NA,NA,NA,NA
2001,2003,HAKE,186,2.87E-01,651.17,2.86E-01,11937,5.45E-01,3.56E+01,15473,4.46E-01,3.07E+01,21689,0.664147775,1.87E+02,6856,0.584416718,7.45E+01
2002,2004,HAKE,393,7.92E-01,954.38,4.12E-01,11864,3.30E-01,4.46E+01,7454,6.48E-01,1.19E+01,16619,0.683730968,1.75E+02,17263,0.513665213,1.76E+02
2003,2005,HAKE,0,0,954.38,0,12646,3.73E-01,5.54E+01,10032,6.24E-01,2.94E+01,11954,0.54544139,1.21E+02,15490,0.445750797,1.60E+02
2004,2006,HAKE,30,3.49E-01,115,2.61E-01,5062,3.77E-01,2.10E+01,5617,6.61E-01,1.38E+01,11879,0.330521638,1.26E+02,7467,0.647594307,6.98E+01
2005,2007,HAKE,275,7.99E-01,507.88,5.41E-01,3352,1.70E-01,1.17E+01,2007,4.66E-01,3.50E+00,12650,0.372733768,1.35E+02,10033,0.623558695,1.10E+02
2006,2008,HAKE,147,7.78E-01,236.33,6.22E-01,10777,2.72E-01,3.77E+01,2128,2.18E-01,5.54E+00,5072,0.377402305,5.76E+01,5624,0.660915801,5.74E+01
2007,2009,HAKE,228,5.14E-01,450.1,5.07E-01,9695,4.91E-01,3.25E+01,7275,3.17E-01,1.89E+01,3353,0.169704483,3.73E+01,2008,0.465649237,2.11E+01
2008,2010,HAKE,137,4.71E-01,337.33,4.06E-01,9538,4.87E-01,3.01E+01,5806,4.71E-01,1.31E+01,10781,0.272550123,1.04E+02,2132,0.217875677,2.01E+01
2009,2011,HAKE,33,2.73E-01,71.12,4.64E-01,57430,6.01E-01,2.48E+02,39911,5.36E-01,7.14E+01,9718,0.49161261,1.00E+02,7278,0.316795047,7.66E+01
2010,2012,HAKE,10,2.08E-01,341.77,2.93E-02,78609,8.07E-01,4.08E+02,142870,7.78E-01,3.27E+02,9340,0.47914637,9.25E+01,5811,0.470939435,6.05E+01
2011,2013,HAKE,137,3.91E-01,421.95,3.25E-01,54922,5.19E-01,2.29E+02,47881,6.27E-01,8.96E+01,57556,0.601077493,6.26E+02,39960,0.536620556,3.39E+02
2012,2014,HAKE,0,0,577.43,0,132421,7.68E-01,4.52E+02,155845,5.30E-01,2.72E+02,78652,0.806759015,9.71E+02,142981,0.777944496,1.25E+03
2013,2015,HAKE,157,6.21E-01,483.73,3.25E-01,100235,7.91E-01,3.33E+02,96134,5.67E-01,1.56E+02,54967,0.519479954,6.18E+02,47935,0.626846256,4.75E+02
2014,2016,HAKE,200,4.04E-01,642.18,3.11E-01,109364,6.84E-01,3.33E+02,137349,7.89E-01,2.11E+02,132571,0.767870726,1.19E+03,155953,0.530196773,1.25E+03
2015,2017,HAKE,216,5.60E-01,616.55,3.50E-01,85862,7.38E-01,2.15E+02,84106,6.10E-01,1.18E+02,100379,0.791346433,9.13E+02,96274,0.567572387,7.89E+02
2016,2018,HAKE,0,0,616.55,0,127670,6.39E-01,2.77E+02,98659,6.72E-01,1.19E+02,109392,0.683891759,1.00E+03,137384,0.789249161,1.26E+03
2017,2019,HAKE,34,5.67E-01,NA,NA,83584,4.77E-01,4.08E+02,85653,7.32E-01,1.85E+02,86023,0.738430645,7.68E+02,84172,0.610232977,6.96E+02
2018,2020,HAKE,55,3.50E-01,NA,NA,61818,7.46E-01,3.24E+02,63186,7.48E-01,2.35E+02,128059,0.639774397,1.05E+03,98698,0.671628676,8.22E+02
2019,2021,HAKE,263,5.74E-01,NA,NA,83836,7.64E-01,3.31E+02,73250,6.47E-01,1.54E+02,83682,0.477676402,1.06E+03,86297,0.732144062,8.54E+02
1999,2001,HERRING,175,2.02E-01,899,1.95E-01,3478,1.55E-01,1.37E+00,3325,1.91E-01,3.47E+00,61896,0.746625254,8.04E+02,63214,0.747798138,1.05E+03
2000,2002,HERRING,63,1.21E-01,773.42,8.15E-02,5414,2.43E-01,1.64E+00,7321,2.04E-01,1.04E+01,83868,0.764452621,8.83E+02,73331,0.647234321,6.67E+02
2001,2003,HERRING,394,6.08E-01,651.17,6.05E-01,4709,1.97E-01,2.64E+00,5795,1.33E-01,4.44E+00,3478,0.154693535,3.00E+01,3325,0.190472036,3.61E+01
2002,2004,HERRING,21,4.23E-02,954.38,2.20E-02,19154,5.42E-01,2.11E+01,6238,1.88E-01,9.32E+00,5414,0.242357032,5.70E+01,7321,0.203704503,7.47E+01
2003,2005,HERRING,0,0,954.38,0,8738,3.16E-01,8.79E+00,5639,2.88E-01,1.29E+01,4709,0.196717943,4.76E+01,5795,0.13311561,5.97E+01
2004,2006,HERRING,0,0.00E+00,115,0.00E+00,8009,4.75E-01,1.35E+01,8659,2.60E-01,2.01E+01,19154,0.542074555,2.04E+02,6238,0.187589998,5.83E+01
2005,2007,HERRING,23,6.69E-02,507.88,4.53E-02,13702,4.59E-01,2.57E+01,3010,6.85E-02,9.90E+00,8738,0.315595007,9.30E+01,5639,0.287741425,6.20E+01
2006,2008,HERRING,10,2.01E+03,236.33,4.23E-02,16197,4.72E-01,6.46E+00,13612,4.05E-01,4.52E+01,8009,0.474480011,9.10E+01,8659,0.260201493,8.84E+01
2007,2009,HERRING,128,2.88E-01,450.1,2.84E-01,7127,3.36E-01,6.23E+00,3253,1.26E-01,6.78E+00,13702,0.459428843,1.52E+02,3010,0.068491117,3.17E+01
2008,2010,HERRING,117,4.02E-01,337.33,3.47E-01,9365,3.79E-01,3.82E+00,3031,1.25E-01,6.29E+00,16197,0.472194773,1.56E+02,13612,0.404941267,1.28E+02
2009,2011,HERRING,57,4.71E-01,71.12,8.01E-01,36052,3.57E-01,9.20E+01,27322,4.03E-01,3.99E+01,7127,0.336066176,7.35E+01,3253,0.12610576,3.42E+01
2010,2012,HERRING,31,6.46E-01,341.77,9.07E-02,14825,1.38E-01,5.66E+01,33531,1.90E-01,8.44E+01,9365,0.378515206,9.27E+01,3031,0.124974662,3.16E+01
2011,2013,HERRING,69,1.97E-01,421.95,1.64E-01,53175,3.88E-01,8.98E+01,32204,2.18E-01,3.33E+01,36052,0.356531595,3.92E+02,27322,0.402378094,2.32E+02
2012,2014,HERRING,29,6.74E-01,577.43,5.02E-02,22588,1.55E-01,3.08E+01,74706,3.60E-01,9.38E+01,14825,0.137470478,1.83E+02,33531,0.189740534,2.94E+02
2013,2015,HERRING,81,3.20E-01,483.73,1.67E-01,21680,1.95E-01,2.46E+01,49577,2.59E-01,5.19E+01,53175,0.387884396,5.97E+02,32204,0.217753895,3.19E+02
2014,2016,HERRING,163,3.29E-01,642.18,2.54E-01,29639,2.20E-01,2.05E+01,20315,1.98E-01,1.45E+01,22588,0.154952935,2.03E+02,74706,0.359690477,5.98E+02
2015,2017,HERRING,91,2.36E-01,616.55,1.48E-01,24354,1.72E-01,2.09E+01,24986,1.36E-01,3.84E+01,21680,0.194720925,1.97E+02,49577,0.259095543,4.06E+02
2016,2018,HERRING,0,0,616.55,0,42777,2.44E-01,1.62E+01,29746,2.71E-01,2.08E+01,29639,0.219561242,2.72E+02,20315,0.197971591,1.86E+02
2017,2019,HERRING,12,2.00E-01,NA,NA,26354,2.40E-01,2.01E+01,12280,1.26E-01,9.87E+00,24354,0.171588093,2.17E+02,24986,0.136370094,2.06E+02
2018,2020,HERRING,40,2.55E-01,NA,NA,8853,1.67E-01,7.85E+00,5691,9.00E-02,1.48E+01,42777,0.243934396,3.51E+02,29746,0.270943296,2.48E+02
2019,2021,HERRING,158,3.45E-01,NA,NA,7580,8.75E-02,1.13E+01,27479,2.71E-01,2.90E+01,26354,0.239601629,3.34E+02,12280,0.12624973,1.22E+02
,,,,,,,,,,,,,8853,0.166747224,1.15E+02,5691,0.08996187,9.49E+01
,,,,,,,,,,,,,7580,0.087443293,7.98E+01,27479,0.271244079,2.50E+02
