Observation type,Year,Date,Month,Week of Year,Day of Year,Watch ID,IncludeForRegression,Watch duration (mm:ss),Watch duration (min),Number of nests observed,Event time,"Event (Feeding = chick successful consumed food; adult feeding = adult successfully consumed food; failed feeding = chick failed to consume food, ? Indicates best guess with uncertainty)",NestID,Unique nest ID,Received By,Unique chick ID,Prey item (? Indicates best guess with uncertainty),Prey Family,Prey size (bill lengths),Prey size (mm; based on 36.5 mm average culmen length),Observer,Notes,Exclude watch from feeding rate calculation,Handling time (seconds),Time Arrived,Time Departed,Provided By
blind,1999,6/26/99,Jun,26,177,1999_048,,120:00,120,4,8:20,start,3/2/6/5,,,,,,,,DT,,,,,,
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,8:26,Feeding,2,1999.2,A,1999.2.A,hake,hake,0.75,27.375,DT,,,,8:26,8:30,Known Male
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,8:32,Feeding,2,1999.2,A,1999.2.A,hake,hake,1,36.5,DT,,,,8:32,8:32,Known Female
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,8:40,Feeding,3,1999.3,A,1999.3.A,hake,hake,1,36.5,DT,,,,8:40,8:44,Parent
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,9:01,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,9:01,9:02,Parent
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,9:03,Feeding,2,1999.2,A,1999.2.A,hake,hake,1,36.5,DT,,,,9:03,9:05,Known Female
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,9:06,Feeding,2,1999.2,A,1999.2.A,hake,hake,1.5,54.75,DT,,,,9:06,9:06,Known Female
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,9:10,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,9:10,9:10,Parent
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,9:12,Feeding,2,1999.2,A,1999.2.A,hake,hake,0.75,27.375,DT,,,,9:12,9:12,Known Male
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,9:20,Failed feeding,5,1999.5,Unknown Adult,,butterfish,butterfish,1,36.5,DT,Unwanted,,,9:20,9:20,Parent
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,9:43,Feeding,2,1999.2,A,1999.2.A,hake,hake,1.25,45.625,DT,,,,9:43,>5 Min,Known Female
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,10:06,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,0.75,27.375,DT,Unwanted,,,10:06,10:06,Parent
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,10:09,Feeding,2,1999.2,Mate,,hake,hake,0.75,27.375,DT,,,,10:09,>5 Min,Known Male
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,10:13,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,10:13,10:13,Parent
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,10:14,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,10:14,10:14,Parent
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,10:15,Failed feeding,6,1999.6,Unknown Adult,,hake,hake,0.75,27.375,DT,Unwanted,,,10:15,10:20,Parent
